-------------------------------------------------------------------------------------------
2017-11-15 15:03:10
Object                                                                              Count               TotalSize           
EntityHandle                                                                        4                   32                  
CTimeProfRecord                                                                     201                 36984               
wylib::container::CLinkedNode<class CObjectAllocatorStat const                      2                   64                  
wylib::container::CLinkedNode<class HandleMgrStat const *>                          0                   0                   
CCustomServerClientSocket                                                           0                   0                   
CLogicGateUser                                                                      0                   0                   
CCLVariant                                                                          0                   0                   
CDataPacket                                                                         0                   0                   
CGameStore::Merchandise                                                             0                   0                   
CFuBen                                                                              0                   0                   
CScene                                                                              0                   0                   
tagMapData                                                                          0                   0                   
CTimeProfDummy                                                                      0                   0                   
CAreaRegion                                                                         0                   0                   
CEntity                                                                             0                   0                   
CEntityOPCollector                                                                  0                   0                   
CRankingItem                                                                        0                   0                   
CBoxDrop                                                                            0                   0                   
CScriptTimeCallManager::ScriptCallInfo                                              0                   0                   
wylib::container::CLinkedNode<struct CTimeCaller::tagTimeCallI                      0                   0                   
CQuestList                                                                          0                   0                   
CQuestData                                                                          0                   0                   
CTeacherMgr                                                                         0                   0                   
CRandHit                                                                            0                   0                   
-------------------------------------------------------------------------------------------
