--熔炼道具配置
MeltingPropsConfig = 
{	
	--增加一点熔炼值消耗X元宝
	costYB=1,
	--开放等级
	openLevel=0,
	--开放转数
	openCircle=3,
	--最大属性等级
	maxPropertyLevel=30,
	--最大熔炼等级
	maxMeltingLevel=210,

	--可以熔炼的道具
	props =
	{     	 --道具Id --融灵值
		{id=280,count =3},--灵珠系列
		{id=281,count =9},
		{id=282,count =27},
		{id=283,count =81},
		{id=1402,count=243},
		{id=705,count=5},--战士必杀技能书系列
		{id=706,count=5},
		{id=707,count=5},
		{id=708,count=10},
		{id=709,count=10},
		{id=2449,count=10},
		{id=2450,count=15},
		{id=2451,count=20},
		{id=710,count=5},--法师必杀技能书系列
		{id=711,count=5},
		{id=712,count=5},
		{id=713,count=10},
		{id=714,count=10},
		{id=2452,count=10},
		{id=2453,count=15},
		{id=2454,count=20},
		{id=715,count=5},--道士必杀技能书系列
		{id=716,count=5},
		{id=717,count=5},
		{id=718,count=10},
		{id=719,count=10},
		{id=2455,count=10},
		{id=2456,count=15},
		{id=2457,count=15},
		{id=279,count=9},--鉴定锁
		{id=278,count=9},--清洗砂
		{id=1020,count=4},--白色翎羽
		{id=745,count=1},--1级魂石系列
		{id=755,count=1},
		{id=765,count=1},
		{id=775,count=1},
		{id=785,count=1},
		{id=795,count=1},
		{id=805,count=1},
		{id=746,count=5},--2级魂石系列
		{id=756,count=5},
		{id=766,count=5},
		{id=776,count=5},
		{id=786,count=5},
		{id=796,count=5},
		{id=806,count=5},
		{id=747,count=17},--3级魂石系列
		{id=757,count=17},
		{id=767,count=17},
		{id=777,count=17},
		{id=787,count=17},
		{id=797,count=17},
		{id=807,count=17},
		{id=748,count=40},--4级魂石系列
		{id=758,count=40},
		{id=768,count=40},
		{id=778,count=40},
		{id=788,count=40},
		{id=798,count=40},
		{id=808,count=40},
		{id=749,count=130},--5级魂石系列
		{id=759,count=130},
		{id=769,count=130},
		{id=779,count=130},
		{id=789,count=130},
		{id=799,count=130},
		{id=809,count=130},
		{id=731,count=5},--快马鞭
		{id=1172,count=28},--灵魂水晶
     	{id=2836,count=48},--共鸣结晶
     	{id=1755,count=16},--灵力丹(小)
     	{id=1756,count=138},--灵力丹(中)
     	{id=1757,count=999},--灵力丹(大)
     	{id=2602,count=3},--神力结晶(小)
     	{id=2627,count=50},--神力结晶(大)
     	{id=2603,count=100},--焰光铁
     	{id=2558,count=10},--天赋丹
     	{id=2983,count=5},--兽魂丹(小)
     	{id=2982,count=500},--兽魂丹(大)
     	{id=2984,count=25},--兽凌玉环
     	{id=1990,count=18},--幻天印
     	{id=2111,count=18},--足迹精华
     	{id=3040,count=20},--足迹结晶
     	{id=2986,count=50},--天威灵丹
	},
}
