{ group = 0, type = 0, id = 506, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶物攻魂玉
{ group = 0, type = 0, id = 507, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔攻魂玉
{ group = 0, type = 0, id = 508, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶道攻魂玉
{ group = 0, type = 0, id = 511, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶生命魂玉
{ group = 0, type = 0, id = 509, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶物防魂玉
{ group = 0, type = 0, id = 510, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔防魂玉
{ group = 0, type = 0, id = 512, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔法魂玉
{ group = 0, type = 0, id = 499, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶物攻魂玉
{ group = 0, type = 0, id = 500, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔攻魂玉
{ group = 0, type = 0, id = 501, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶道攻魂玉
{ group = 0, type = 0, id = 504, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶生命魂玉
{ group = 0, type = 0, id = 502, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶物防魂玉
{ group = 0, type = 0, id = 503, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔防魂玉
{ group = 0, type = 0, id = 505, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔法魂玉
{ group = 0, type = 0, id = 918, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --星珠碎晶(小)
{ group = 0, type = 0, id = 921, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --护镜碎晶(小)
{ group = 0, type = 0, id = 492, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶物攻魂玉
{ group = 0, type = 0, id = 493, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔攻魂玉
{ group = 0, type = 0, id = 494, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶道攻魂玉
{ group = 0, type = 0, id = 495, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶物防魂玉
{ group = 0, type = 0, id = 496, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔防魂玉
{ group = 0, type = 0, id = 497, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶生命魂玉
{ group = 0, type = 0, id = 498, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔法魂玉
{ group = 0, type = 0, id = 688, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --归元丹(小)
{ group = 0, type = 0, id = 688, propability = 0, count = 1 }, --归元丹(小)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --玄盾碎晶(小)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --血印碎晶(小)
{ group = 0, type = 0, id = 146, propability = 25, count = 1 }, --天苍腰带
{ group = 0, type = 0, id = 161, propability = 25, count = 1 }, --紫薇腰带
{ group = 0, type = 0, id = 176, propability = 25, count = 1 }, --笙狼腰带
{ group = 0, type = 0, id = 192, propability = 25, count = 1 }, --天苍头盔
{ group = 0, type = 0, id = 207, propability = 25, count = 1 }, --紫薇头盔
{ group = 0, type = 0, id = 222, propability = 25, count = 1 }, --笙狼头盔
{ group = 0, type = 0, id = 238, propability = 25, count = 1 }, --天苍项链
{ group = 0, type = 0, id = 253, propability = 25, count = 1 }, --紫薇项链
{ group = 0, type = 0, id = 268, propability = 25, count = 1 }, --笙狼项链
{ group = 0, type = 0, id = 284, propability = 25, count = 1 }, --天苍手镯
{ group = 0, type = 0, id = 299, propability = 25, count = 1 }, --紫薇手镯
{ group = 0, type = 0, id = 314, propability = 25, count = 1 }, --笙狼手镯
{ group = 0, type = 0, id = 330, propability = 25, count = 1 }, --天苍戒指
{ group = 0, type = 0, id = 345, propability = 25, count = 1 }, --紫薇戒指
{ group = 0, type = 0, id = 360, propability = 25, count = 1 }, --笙狼戒指
{ group = 0, type = 0, id = 376, propability = 25, count = 1 }, --天苍战靴
{ group = 0, type = 0, id = 391, propability = 25, count = 1 }, --紫薇法靴
{ group = 0, type = 0, id = 406, propability = 25, count = 1 }, --笙狼道靴
{ group = 0, type = 0, id = 421, propability = 25, count = 1 }, --天苍宝石
{ group = 0, type = 0, id = 436, propability = 25, count = 1 }, --紫薇宝石
{ group = 0, type = 0, id = 451, propability = 25, count = 1 }, --笙狼宝石
{ group = 1, type = 0, id = 6, propability = 20, count = 1 }, --火撩天苍
{ group = 1, type = 0, id = 21, propability = 15, count = 1 }, --紫薇映月
{ group = 1, type = 0, id = 36, propability = 15, count = 1 }, --笙狼道剑
{ group = 1, type = 0, id = 55, propability = 20, count = 1 }, --天苍战甲(男)
{ group = 1, type = 0, id = 85, propability = 15, count = 1 }, --紫薇法袍(男)
{ group = 1, type = 0, id = 115, propability = 15, count = 1 }, --笙狼道铠(男)
{ group = 1, type = 0, id = 70, propability = 20, count = 1 }, --天苍战甲(女)
{ group = 1, type = 0, id = 100, propability = 15, count = 1 }, --紫薇法袍(女)
{ group = 1, type = 0, id = 130, propability = 15, count = 1 }, --笙狼道铠(女)
{ group = 2, type = 0, id = 55, propability = 3, count = 1 }, --天苍战甲(男)
