{ group = 0, type = 0, id = 1035, propability = 5, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --百万经验灵符
{ group = 0, type = 0, id = 1036, propability = 10, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --千万经验灵符
{ group = 0, type = 0, id = 1037, propability = 30, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --一亿经验灵符
{ group = 0, type = 6, id = 0, propability = 1, count = 0, mincount = 10000, maxcount = 30000, bind = 1 }, --金币
{ group = 0, type = 0, id = 618, propability = 5, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --金条
{ group = 0, type = 0, id = 1949, propability = 2, count = 0, mincount = 2, maxcount = 5,  bind = 1 }, --10礼券
{ group = 1, type = 0, id = 663, propability = 30, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --金砖
{ group = 1, type = 0, id = 1371, propability = 20, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --黄金礼票
{ group = 2, type = 0, id = 415, propability = 500, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --100元宝票
{ group = 2, type = 0, id = 413, propability = 200, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --10元宝票
{ group = 2, type = 0, id = 414, propability = 300, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --50元宝票
