{ group = 0, type = 0, id = 3380, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --Ó­´ºÀñÅÚ
{ group = 0, type = 0, id = 3386, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --³ıÏ¦±¬Öñ
{ group = 0, type = 0, id = 3396, propability = 5, count = 0, mincount = 0, maxcount = 1, bind = 1 }, --²ÆÉñºì°ü
{ group = 0, type = 0, id = 3379, propability = 3, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --Í¼¼øÑ¹Ëê°ü
{ group = 0, type = 6, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 10000, bind = 1 }, --½ğ±Ò
{ group = 0, type = 0, id = 618, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --½ğÌõ
{ group = 0, type = 0, id = 1371, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --»Æ½ğÀñÆ±
{ group = 0, type = 0, id = 1949, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --10ÀñÈ¯
{ group = 0, type = 0, id = 1035, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --°ÙÍò¾­ÑéÁé·û
{ group = 0, type = 0, id = 1036, propability = 3, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --Ç§Íò¾­ÑéÁé·û
{ group = 0, type = 0, id = 1037, propability = 5, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --Ò»ÒÚ¾­ÑéÁé·û
{ group = 0, type = 0, id = 659, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --1000ÈÙÓş
{ group = 0, type = 0, id = 661, propability = 2, count = 0, mincount = 2, maxcount = 3, bind = 1 }, --5000ÈÙÓş
{ group = 0, type = 0, id = 662, propability = 3, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --10000ÈÙÓş
{ group = 0, type = 0, id = 918, propability = 5, count = 0, mincount = 0, maxcount = 1, bind = 1 }, --ÈÙÓş»ÕÓ¡

