{ group = 0, type = 0, id = 464, propability = 150, count = 1, growLv = 20 }, --1½×»êÖé
{ group = 0, type = 0, id = 506, propability = 15, count = 1, growLv = 19, bind = 1 }, --3½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 507, propability = 15, count = 1, growLv = 19, bind = 1 }, --3½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 508, propability = 15, count = 1, growLv = 19, bind = 1 }, --3½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 511, propability = 2, count = 1, growLv = 18, bind = 1 }, --3½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 509, propability = 5, count = 1, growLv = 18, bind = 1 }, --3½×Îï·À»êÓñ
{ group = 0, type = 0, id = 510, propability = 5, count = 1, growLv = 18, bind = 1 }, --3½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 512, propability = 5, count = 1, growLv = 18, bind = 1 }, --3½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 918, propability = 1, count = 0, mincount = 1, maxcount = 3, growLv = 2, bind = 1 }, --ĞÇÖéËé¾§(Ğ¡)
{ group = 0, type = 0, id = 485, propability = 10, count = 1, growLv = 15, bind = 1 }, --ÍêÃÀÇ¿»¯·û
{ group = 0, type = 0, id = 636, propability = 10, count = 1, growLv = 15, bind = 1 }, --2±¶¾­Ñéµ¤(1Ğ¡Ê±)
{ group = 0, type = 0, id = 835, propability = 10, count = 1, growLv = 10 }, --ÎïÀí¹¥»÷Ò©¼Á
{ group = 0, type = 0, id = 836, propability = 10, count = 1, growLv = 10 }, --Ä§·¨¹¥»÷Ò©¼Á
{ group = 0, type = 0, id = 837, propability = 10, count = 1, growLv = 10 }, --µÀÊõ¹¥»÷Ò©¼Á
{ group = 0, type = 0, id = 921, propability = 1, count = 0, mincount = 1, maxcount = 3, growLv = 2, bind = 1 }, --»¤¾µËé¾§(Ğ¡)
{ group = 0, type = 0, id = 499, propability = 8, count = 1, growLv = 5 }, --2½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 500, propability = 8, count = 1, growLv = 5 }, --2½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 501, propability = 8, count = 1, growLv = 5 }, --2½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 502, propability = 5, count = 1, growLv = 3 }, --2½×Îï·À»êÓñ
{ group = 0, type = 0, id = 503, propability = 5, count = 1, growLv = 3 }, --2½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 504, propability = 5, count = 1, growLv = 2 }, --2½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 505, propability = 5, count = 1, growLv = 2 }, --2½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 492, propability = 10, count = 1, bind = 1 }, --1½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 493, propability = 10, count = 1, bind = 1 }, --1½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 494, propability = 10, count = 1, bind = 1 }, --1½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 495, propability = 10, count = 1, bind = 1 }, --1½×Îï·À»êÓñ
{ group = 0, type = 0, id = 496, propability = 10, count = 1, bind = 1 }, --1½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 497, propability = 10, count = 1, bind = 1 }, --1½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 498, propability = 10, count = 1, bind = 1 }, --1½×Ä§·¨»êÓñ
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 5000, maxcount = 15000 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 0, id = 473, propability = 2, count = 1, bind = 1 }, --Âí±Ş
{ group = 0, type = 0, id = 745, propability = 2, count = 1 }, --×£¸£ÓÍ
{ group = 0, type = 0, id = 484, propability = 1, count = 1, bind = 1 }, --Ç¿»¯Ê¯
{ group = 0, type = 0, id = 688, propability = 1, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 1, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 656, propability = 3, count = 1, bind = 1 }, --°ÙÄêÑô²Î
{ group = 0, type = 0, id = 656, propability = 3, count = 1, bind = 1 }, --°ÙÄêÑô²Î
{ group = 0, type = 0, id = 463, propability = 1, count = 1, bind = 1 }, --Ò»½×ÁéÓğ
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --Ğş¶ÜËé¾§(Ğ¡)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --ÑªÓ¡Ëé¾§(Ğ¡)
{ group = 0, type = 0, id = 145, propability = 40, count = 1 }, --ÁúÁÛÑü´ø
{ group = 0, type = 0, id = 191, propability = 40, count = 1 }, --ÁúÁÛÍ·¿ø
{ group = 0, type = 0, id = 237, propability = 40, count = 1 }, --ÁúÁÛÏîÁ´
{ group = 0, type = 0, id = 283, propability = 40, count = 1 }, --ÁúÁÛÊÖïí
{ group = 0, type = 0, id = 329, propability = 40, count = 1 }, --ÁúÁÛ½äÖ¸
{ group = 0, type = 0, id = 375, propability = 40, count = 1 }, --ÁúÁÛÕ½Ñ¥
{ group = 0, type = 0, id = 420, propability = 40, count = 1 }, --ÁúÁÛ±¦Ê¯
{ group = 0, type = 0, id = 160, propability = 40, count = 1 }, --ºìÓñÑü´ø
{ group = 0, type = 0, id = 206, propability = 40, count = 1 }, --ºìÓñÍ·¿ø
{ group = 0, type = 0, id = 252, propability = 40, count = 1 }, --ºìÓñÏîÁ´
{ group = 0, type = 0, id = 298, propability = 40, count = 1 }, --ºìÓñÊÖïí
{ group = 0, type = 0, id = 344, propability = 40, count = 1 }, --ºìÓñ½äÖ¸
{ group = 0, type = 0, id = 390, propability = 40, count = 1 }, --ºìÓñ·¨Ñ¥
{ group = 0, type = 0, id = 435, propability = 40, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 0, type = 0, id = 175, propability = 40, count = 1 }, --ĞşìÇÑü´ø
{ group = 0, type = 0, id = 221, propability = 40, count = 1 }, --ĞşìÇÍ·¿ø
{ group = 0, type = 0, id = 267, propability = 40, count = 1 }, --ĞşìÇÏîÁ´
{ group = 0, type = 0, id = 313, propability = 40, count = 1 }, --ĞşìÇÊÖïí
{ group = 0, type = 0, id = 359, propability = 40, count = 1 }, --ĞşìÇ½äÖ¸
{ group = 0, type = 0, id = 405, propability = 40, count = 1 }, --ĞşìÇµÀÑ¥
{ group = 0, type = 0, id = 450, propability = 40, count = 1 }, --ĞşìÇ±¦Ê¯
{ group = 1, type = 0, id = 5, propability = 30, count = 1 }, --ÁúÁÛ½£
{ group = 1, type = 0, id = 54, propability = 30, count = 1 }, --ÁúÁÛÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 69, propability = 30, count = 1 }, --ÁúÁÛÕ½¼×(Å®)
{ group = 1, type = 0, id = 20, propability = 30, count = 1 }, --ºìÓñÓ°ÈĞ
{ group = 1, type = 0, id = 84, propability = 30, count = 1 }, --ºìÓñ·¨ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 99, propability = 30, count = 1 }, --ºìÓñ·¨ÅÛ(Å®)
{ group = 1, type = 0, id = 35, propability = 30, count = 1 }, --ĞşìÇÉñ½£
{ group = 1, type = 0, id = 114, propability = 30, count = 1 }, --ĞşìÇµÀîø(ÄĞ)
{ group = 1, type = 0, id = 129, propability = 30, count = 1 }, --ĞşìÇµÀîø(Å®)
{ group = 2, type = 0, id = 55, propability = 700, count = 1 }, --Ìì²ÔÕ½¼×(ÄĞ)
{ group = 2, type = 0, id = 85, propability = 700, count = 1 }, --×ÏŞ±·¨ÅÛ(ÄĞ)
{ group = 2, type = 0, id = 115, propability = 700, count = 1 }, --óÏÀÇµÀîø(ÄĞ)
{ group = 2, type = 0, id = 70, propability = 700, count = 1 }, --Ìì²ÔÕ½¼×(Å®)
{ group = 2, type = 0, id = 100, propability = 700, count = 1 }, --×ÏŞ±·¨ÅÛ(Å®)
