{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 0, type = 5, id = 0, propability = 1, count = 0, mincount = 3000, maxcount = 5000, bind = 1 }, --°ó¶¨½ğ±Ò
{ group = 1, type = 0, id = 5, propability = 40, count = 1, bind = 1 }, --ÁúÁÛ½£
{ group = 1, type = 0, id = 20, propability = 40, count = 1, bind = 1 }, --ºìÓñÓ°ÈĞ
{ group = 1, type = 0, id = 35, propability = 40, count = 1, bind = 1 }, --ĞşìÇÉñ½£
{ group = 1, type = 0, id = 54, propability = 40, count = 1, bind = 1 }, --ÁúÁÛÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 84, propability = 40, count = 1, bind = 1 }, --ºìÓñ·¨ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 114, propability = 40, count = 1, bind = 1 }, --ĞşìÇµÀîø(ÄĞ)
{ group = 1, type = 0, id = 69, propability = 40, count = 1, bind = 1 }, --ÁúÁÛÕ½¼×(Å®)
{ group = 1, type = 0, id = 99, propability = 40, count = 1, bind = 1 }, --ºìÓñ·¨ÅÛ(Å®)
{ group = 1, type = 0, id = 129, propability = 40, count = 1, bind = 1 }, --ĞşìÇµÀîø(Å®)
{ group = 2, type = 0, id = 145, propability = 20, count = 1, bind = 1 }, --ÁúÁÛÑü´ø
{ group = 2, type = 0, id = 160, propability = 20, count = 1, bind = 1 }, --ºìÓñÑü´ø
{ group = 2, type = 0, id = 175, propability = 20, count = 1, bind = 1 }, --ĞşìÇÑü´ø
{ group = 2, type = 0, id = 191, propability = 20, count = 1, bind = 1 }, --ÁúÁÛÍ·¿ø
{ group = 2, type = 0, id = 206, propability = 20, count = 1, bind = 1 }, --ºìÓñÍ·¿ø
{ group = 2, type = 0, id = 221, propability = 20, count = 1, bind = 1 }, --ĞşìÇÍ·¿ø
