{ group = 0, type = 6, id = 0, propability = 1, count = 0, mincount = 10000, maxcount = 30000, bind = 1 }, --金币
{ group = 0, type = 0, id = 3298, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --盛世礼盒
{ group = 0, type = 0, id = 3297, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --盛世烟火
{ group = 0, type = 0, id = 662, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --10000荣誉
{ group = 0, type = 0, id = 659, propability = 1, count = 0, mincount = 5, maxcount = 8, bind = 1 }, --1000荣誉
{ group = 0, type = 0, id = 661, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --5000荣誉
{ group = 0, type = 0, id = 618, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --金条
{ group = 0, type = 0, id = 282, propability = 1, count = 0, mincount = 5, maxcount = 10, bind = 1 }, --三级灵珠
{ group = 0, type = 0, id = 283, propability = 1, count = 0, mincount = 5, maxcount = 8, bind = 1 }, --四级灵珠
{ group = 0, type = 0, id = 1402, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --五级灵珠
{ group = 0, type = 0, id = 704, propability = 1, count = 0, mincount = 3, maxcount = 10, bind = 1 }, --高级怒气丹
{ group = 0, type = 0, id = 1073, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --人参王
{ group = 0, type = 0, id = 1075, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --雪莲王
{ group = 1, type = 0, id = 2136, propability = 1, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --兽灵
{ group = 1, type = 0, id = 1175, propability = 1, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --战神结晶
{ group = 1, type = 0, id = 1991, propability = 1, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --羽练石
{ group = 1, type = 0, id = 2258, propability = 1, count = 0, mincount = 0, maxcount = 2, bind = 1 }, --血元
{ group = 1, type = 0, id = 2910, propability = 5, count = 1, bind = 1 }, --鸿蒙紫莲
{ group = 2, type = 0, id = 549, propability = 3, count = 0, mincount = 0, maxcount = 1, bind = 0 }, --麻痹戒指
{ group = 2, type = 0, id = 550, propability = 3, count = 0, mincount = 0, maxcount = 1, bind = 0 }, --护体戒指
{ group = 2, type = 0, id = 551, propability = 3, count = 0, mincount = 0, maxcount = 1, bind = 0 }, --复活戒指
{ group = 2, type = 0, id = 2985, propability = 10, count = 1, bind = 1 }, --朱雀石
