{ group = 0, type = 6, id = 0, propability = 1, count = 0, mincount = 2000, maxcount = 5000, bind = 1 }, --金币
{ group = 0, type = 0, id = 1949, propability = 1, count = 1, bind = 1 }, --10礼券
{ group = 0, type = 0, id = 421, propability = 3, count = 1, bind = 1 }, --50礼券
{ group = 0, type = 0, id = 1035, propability = 2, count = 1, bind = 1 }, --百万经验灵符
{ group = 0, type = 0, id = 1036, propability = 5, count = 1, bind = 1 }, --千万经验灵符
{ group = 1, type = 0, id = 779, propability = 49, count = 1, bind = 1 }, --5级物防魂石
{ group = 1, type = 0, id = 789, propability = 49, count = 1, bind = 1 }, --5级魔防魂石
{ group = 1, type = 0, id = 799, propability = 49, count = 1, bind = 1 }, --5级生命魂石
{ group = 1, type = 0, id = 809, propability = 49, count = 1, bind = 1 }, --5级魔法魂石
{ group = 1, type = 0, id = 748, propability = 35, count = 1, bind = 1 }, --4级物攻魂石
{ group = 1, type = 0, id = 758, propability = 35, count = 1, bind = 1 }, --4级魔攻魂石
{ group = 1, type = 0, id = 768, propability = 35, count = 1, bind = 1 }, --4级道攻魂石

