{ group = 0, type = 0, id = 464, propability = 80, count = 1, bind = 1 }, --1阶魂珠
{ group = 0, type = 0, id = 506, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶物攻魂玉
{ group = 0, type = 0, id = 507, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔攻魂玉
{ group = 0, type = 0, id = 508, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶道攻魂玉
{ group = 0, type = 0, id = 511, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶生命魂玉
{ group = 0, type = 0, id = 509, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶物防魂玉
{ group = 0, type = 0, id = 510, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔防魂玉
{ group = 0, type = 0, id = 512, propability = 0, count = 1, growLv = 21, bind = 1 }, --3阶魔法魂玉
{ group = 0, type = 0, id = 499, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶物攻魂玉
{ group = 0, type = 0, id = 500, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔攻魂玉
{ group = 0, type = 0, id = 501, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶道攻魂玉
{ group = 0, type = 0, id = 504, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶生命魂玉
{ group = 0, type = 0, id = 502, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶物防魂玉
{ group = 0, type = 0, id = 503, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔防魂玉
{ group = 0, type = 0, id = 505, propability = 0, count = 1, growLv = 21, bind = 1 }, --2阶魔法魂玉
{ group = 0, type = 0, id = 918, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --星珠碎晶(小)
{ group = 0, type = 0, id = 921, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --护镜碎晶(小)
{ group = 0, type = 0, id = 492, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶物攻魂玉
{ group = 0, type = 0, id = 493, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔攻魂玉
{ group = 0, type = 0, id = 494, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶道攻魂玉
{ group = 0, type = 0, id = 495, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶物防魂玉
{ group = 0, type = 0, id = 496, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔防魂玉
{ group = 0, type = 0, id = 497, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶生命魂玉
{ group = 0, type = 0, id = 498, propability = 0, count = 1, growLv = 21, bind = 1 }, --1阶魔法魂玉
{ group = 0, type = 0, id = 688, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --归元丹(小)
{ group = 0, type = 0, id = 688, propability = 0, count = 1 }, --归元丹(小)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --玄盾碎晶(小)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --血印碎晶(小)
{ group = 0, type = 0, id = 145, propability = 25, count = 1 }, --龙鳞腰带
{ group = 0, type = 0, id = 191, propability = 25, count = 1 }, --龙鳞头盔
{ group = 0, type = 0, id = 237, propability = 25, count = 1 }, --龙鳞项链
{ group = 0, type = 0, id = 283, propability = 25, count = 1 }, --龙鳞手镯
{ group = 0, type = 0, id = 329, propability = 25, count = 1 }, --龙鳞戒指
{ group = 0, type = 0, id = 375, propability = 25, count = 1 }, --龙鳞战靴
{ group = 0, type = 0, id = 420, propability = 25, count = 1 }, --龙鳞宝石
{ group = 0, type = 0, id = 160, propability = 25, count = 1 }, --红玉腰带
{ group = 0, type = 0, id = 206, propability = 25, count = 1 }, --红玉头盔
{ group = 0, type = 0, id = 252, propability = 25, count = 1 }, --红玉项链
{ group = 0, type = 0, id = 298, propability = 25, count = 1 }, --红玉手镯
{ group = 0, type = 0, id = 344, propability = 25, count = 1 }, --红玉戒指
{ group = 0, type = 0, id = 390, propability = 25, count = 1 }, --红玉法靴
{ group = 0, type = 0, id = 435, propability = 25, count = 1 }, --红玉宝石
{ group = 0, type = 0, id = 175, propability = 25, count = 1 }, --玄烨腰带
{ group = 0, type = 0, id = 221, propability = 25, count = 1 }, --玄烨头盔
{ group = 0, type = 0, id = 267, propability = 25, count = 1 }, --玄烨项链
{ group = 0, type = 0, id = 313, propability = 25, count = 1 }, --玄烨手镯
{ group = 0, type = 0, id = 359, propability = 25, count = 1 }, --玄烨戒指
{ group = 0, type = 0, id = 405, propability = 25, count = 1 }, --玄烨道靴
{ group = 0, type = 0, id = 450, propability = 25, count = 1 }, --玄烨宝石
{ group = 1, type = 0, id = 5, propability = 20, count = 1 }, --龙鳞剑
{ group = 1, type = 0, id = 54, propability = 15, count = 1 }, --龙鳞战甲(男)
{ group = 1, type = 0, id = 69, propability = 15, count = 1 }, --龙鳞战甲(女)
{ group = 1, type = 0, id = 20, propability = 20, count = 1 }, --红玉影刃
{ group = 1, type = 0, id = 84, propability = 15, count = 1 }, --红玉法袍(男)
{ group = 1, type = 0, id = 99, propability = 15, count = 1 }, --红玉法袍(女)
{ group = 1, type = 0, id = 35, propability = 20, count = 1 }, --玄烨神剑
{ group = 1, type = 0, id = 114, propability = 15, count = 1 }, --玄烨道铠(男)
{ group = 1, type = 0, id = 129, propability = 15, count = 1 }, --玄烨道铠(女)
{ group = 2, type = 0, id = 55, propability = 3, count = 1 }, --天苍战甲(男)
{ group = 2, type = 0, id = 85, propability = 3, count = 1 }, --紫薇法袍(男)
