{ group = 0, type = 0, id = 6, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --火撩天苍
{ group = 0, type = 0, id = 55, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --天苍战甲(男)
{ group = 0, type = 0, id = 70, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --天苍战甲(女)
{ group = 0, type = 0, id = 146, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍腰带
{ group = 0, type = 0, id = 192, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍头盔
{ group = 0, type = 0, id = 238, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍项链
{ group = 0, type = 0, id = 284, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍手镯
{ group = 0, type = 0, id = 330, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍戒指
{ group = 0, type = 0, id = 376, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍战靴
{ group = 0, type = 0, id = 421, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --天苍宝石
{ group = 0, type = 0, id = 21, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --紫薇映月
{ group = 0, type = 0, id = 85, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --紫薇法袍(男)
{ group = 0, type = 0, id = 100, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --紫薇法袍(女)
{ group = 0, type = 0, id = 161, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇腰带
{ group = 0, type = 0, id = 207, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇头盔
{ group = 0, type = 0, id = 253, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇项链
{ group = 0, type = 0, id = 299, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇手镯
{ group = 0, type = 0, id = 345, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇戒指
{ group = 0, type = 0, id = 391, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇法靴
{ group = 0, type = 0, id = 436, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --紫薇宝石
{ group = 0, type = 0, id = 36, propability = 15, count = 0, mincount = 1, maxcount = 2 }, --笙狼道剑
{ group = 0, type = 0, id = 115, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --笙狼道铠(男)
{ group = 0, type = 0, id = 130, propability = 8, count = 0, mincount = 1, maxcount = 2 }, --笙狼道铠(女)
{ group = 0, type = 0, id = 176, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼腰带
{ group = 0, type = 0, id = 222, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼头盔
{ group = 0, type = 0, id = 268, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼项链
{ group = 0, type = 0, id = 314, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼手镯
{ group = 0, type = 0, id = 360, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼戒指
{ group = 0, type = 0, id = 406, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼道靴
{ group = 0, type = 0, id = 451, propability = 5, count = 0, mincount = 1, maxcount = 2 }, --笙狼宝石
{ group = 1, type = 0, id = 7, propability = 15, count = 1 }, --斩龙屠魔
{ group = 1, type = 0, id = 56, propability = 5, count = 1 }, --破天战甲(男)
{ group = 1, type = 0, id = 71, propability = 5, count = 1 }, --破天战甲(女)
{ group = 0, type = 0, id = 147, propability = 5, count = 1 }, --破天腰带
{ group = 0, type = 0, id = 193, propability = 5, count = 1 }, --破天头盔
{ group = 0, type = 0, id = 239, propability = 5, count = 1 }, --破天项链
{ group = 0, type = 0, id = 285, propability = 5, count = 1 }, --破天手镯
{ group = 0, type = 0, id = 331, propability = 5, count = 1 }, --破天戒指
{ group = 0, type = 0, id = 377, propability = 5, count = 1 }, --破天战靴
{ group = 0, type = 0, id = 422, propability = 5, count = 1 }, --破天宝石
{ group = 2, type = 0, id = 22, propability = 15, count = 1 }, --冰蓝法杖
{ group = 2, type = 0, id = 86, propability = 5, count = 1 }, --翠羽法袍(男)
{ group = 2, type = 0, id = 101, propability = 5, count = 1 }, --翠羽法袍(女)
{ group = 0, type = 0, id = 162, propability = 5, count = 1 }, --翠羽腰带
{ group = 0, type = 0, id = 208, propability = 5, count = 1 }, --翠羽头盔
{ group = 0, type = 0, id = 254, propability = 5, count = 1 }, --翠羽项链
{ group = 0, type = 0, id = 300, propability = 5, count = 1 }, --翠羽手镯
{ group = 0, type = 0, id = 346, propability = 5, count = 1 }, --翠羽戒指
{ group = 0, type = 0, id = 392, propability = 5, count = 1 }, --翠羽法靴
{ group = 0, type = 0, id = 437, propability = 5, count = 1 }, --翠羽宝石
{ group = 3, type = 0, id = 37, propability = 15, count = 1 }, --紫光道剑
{ group = 3, type = 0, id = 116, propability = 5, count = 1 }, --蓝凌道铠(男)
{ group = 3, type = 0, id = 131, propability = 5, count = 1 }, --蓝凌道铠(女)
{ group = 0, type = 0, id = 177, propability = 5, count = 1 }, --蓝凌腰带
{ group = 0, type = 0, id = 223, propability = 5, count = 1 }, --蓝凌头盔
{ group = 0, type = 0, id = 269, propability = 5, count = 1 }, --蓝凌项链
{ group = 0, type = 0, id = 315, propability = 5, count = 1 }, --蓝凌手镯
{ group = 0, type = 0, id = 361, propability = 5, count = 1 }, --蓝凌戒指
{ group = 0, type = 0, id = 407, propability = 5, count = 1 }, --蓝凌道靴
{ group = 0, type = 0, id = 452, propability = 5, count = 1 }, --蓝凌宝石
{ group = 4, type = 0, id = 57, propability = 60, count = 1 }, --鎏金战甲(男)
{ group = 4, type = 0, id = 72, propability = 60, count = 1 }, --鎏金战甲(女)
{ group = 4, type = 0, id = 87, propability = 60, count = 1 }, --碧玺法袍(男)
{ group = 4, type = 0, id = 102, propability = 60, count = 1 }, --碧玺法袍(女)
{ group = 4, type = 0, id = 117, propability = 60, count = 1 }, --岚空道铠(男)
{ group = 4, type = 0, id = 132, propability = 60, count = 1 }, --岚空道铠(女)
{ group = 5, type = 0, id = 148, propability = 50, count = 1 }, --鎏金腰带
{ group = 5, type = 0, id = 163, propability = 50, count = 1 }, --碧玺腰带
{ group = 5, type = 0, id = 178, propability = 50, count = 1 }, --岚空腰带
{ group = 5, type = 0, id = 194, propability = 50, count = 1 }, --鎏金头盔
{ group = 5, type = 0, id = 209, propability = 50, count = 1 }, --碧玺头盔
{ group = 5, type = 0, id = 224, propability = 50, count = 1 }, --岚空头盔
{ group = 5, type = 0, id = 240, propability = 50, count = 1 }, --鎏金项链
{ group = 5, type = 0, id = 255, propability = 50, count = 1 }, --碧玺项链
{ group = 5, type = 0, id = 270, propability = 50, count = 1 }, --岚空项链
{ group = 5, type = 0, id = 286, propability = 50, count = 1 }, --鎏金手镯
{ group = 5, type = 0, id = 301, propability = 50, count = 1 }, --碧玺手镯
{ group = 5, type = 0, id = 316, propability = 50, count = 1 }, --岚空手镯
{ group = 5, type = 0, id = 332, propability = 50, count = 1 }, --鎏金戒指
{ group = 5, type = 0, id = 347, propability = 50, count = 1 }, --碧玺戒指
{ group = 5, type = 0, id = 362, propability = 50, count = 1 }, --岚空戒指
{ group = 5, type = 0, id = 378, propability = 50, count = 1 }, --鎏金战靴
{ group = 5, type = 0, id = 393, propability = 50, count = 1 }, --碧玺法靴
{ group = 5, type = 0, id = 408, propability = 50, count = 1 }, --岚空道靴
{ group = 5, type = 0, id = 423, propability = 50, count = 1 }, --鎏金宝石
{ group = 5, type = 0, id = 438, propability = 50, count = 1 }, --碧玺宝石
{ group = 5, type = 0, id = 453, propability = 50, count = 1 }, --岚空宝石
{ group = 6, type = 0, id = 8, propability = 30, count = 1 }, --鎏金宝刀
{ group = 6, type = 0, id = 23, propability = 30, count = 1 }, --碧玺法杖
{ group = 6, type = 0, id = 38, propability = 30, count = 1 }, --岚空神剑
