{ group = 0, type = 0, id = 464, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --1阶魂珠
{ group = 0, type = 0, id = 463, propability = 1, count = 0, mincount = 10, maxcount = 20, bind = 1 }, --一阶灵羽
{ group = 0, type = 0, id = 782, propability = 1, count = 0, mincount = 5, maxcount = 10 }, --随机魂玉袋
{ group = 0, type = 0, id = 925, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --血印碎晶(中)
{ group = 0, type = 0, id = 928, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --玄盾碎晶(中)
{ group = 0, type = 0, id = 918, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --星珠碎晶(小)
{ group = 0, type = 0, id = 921, propability = 1, count = 0, mincount = 1, maxcount = 5, bind = 1 }, --护镜碎晶(小)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 10, bind = 1 }, --玄盾碎晶(小)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 10, bind = 1 }, --血印碎晶(小)
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 0, type = 0, id = 809, propability = 1, count = 0, mincount = 1, maxcount = 1, bind = 1 }, --绑定100元宝锭
{ group = 1, type = 0, id = 5, propability = 20, count = 1 }, --龙鳞剑
{ group = 1, type = 0, id = 54, propability = 15, count = 1 }, --龙鳞战甲(男)
{ group = 1, type = 0, id = 69, propability = 15, count = 1 }, --龙鳞战甲(女)
{ group = 1, type = 0, id = 20, propability = 20, count = 1 }, --红玉影刃
{ group = 1, type = 0, id = 84, propability = 15, count = 1 }, --红玉法袍(男)
{ group = 1, type = 0, id = 99, propability = 15, count = 1 }, --红玉法袍(女)
{ group = 1, type = 0, id = 35, propability = 20, count = 1 }, --玄烨神剑
{ group = 1, type = 0, id = 114, propability = 15, count = 1 }, --玄烨道铠(男)
{ group = 1, type = 0, id = 129, propability = 15, count = 1 }, --玄烨道铠(女)
{ group = 2, type = 0, id = 55, propability = 3, count = 1 }, --天苍战甲(男)
{ group = 2, type = 0, id = 85, propability = 3, count = 1 }, --紫薇法袍(男)
{ group = 2, type = 0, id = 115, propability = 3, count = 1 }, --笙狼道铠(男)
{ group = 2, type = 0, id = 70, propability = 3, count = 1 }, --天苍战甲(女)
{ group = 2, type = 0, id = 100, propability = 3, count = 1 }, --紫薇法袍(女)
{ group = 2, type = 0, id = 130, propability = 3, count = 1 }, --笙狼道铠(女)
{ group = 2, type = 0, id = 146, propability = 3, count = 1 }, --天苍腰带
{ group = 2, type = 0, id = 161, propability = 3, count = 1 }, --紫薇腰带
{ group = 2, type = 0, id = 176, propability = 3, count = 1 }, --笙狼腰带
{ group = 2, type = 0, id = 192, propability = 3, count = 1 }, --天苍头盔
{ group = 2, type = 0, id = 207, propability = 3, count = 1 }, --紫薇头盔
{ group = 2, type = 0, id = 222, propability = 3, count = 1 }, --笙狼头盔
{ group = 2, type = 0, id = 238, propability = 3, count = 1 }, --天苍项链
{ group = 3, type = 0, id = 253, propability = 3, count = 1 }, --紫薇项链
{ group = 2, type = 0, id = 268, propability = 3, count = 1 }, --笙狼项链
{ group = 2, type = 0, id = 284, propability = 3, count = 1 }, --天苍手镯
{ group = 2, type = 0, id = 299, propability = 3, count = 1 }, --紫薇手镯
{ group = 2, type = 0, id = 314, propability = 3, count = 1 }, --笙狼手镯
{ group = 2, type = 0, id = 330, propability = 3, count = 1 }, --天苍戒指
{ group = 2, type = 0, id = 345, propability = 3, count = 1 }, --紫薇戒指
{ group = 2, type = 0, id = 360, propability = 3, count = 1 }, --笙狼戒指
{ group = 2, type = 0, id = 376, propability = 3, count = 1 }, --天苍战靴
{ group = 2, type = 0, id = 391, propability = 3, count = 1 }, --紫薇法靴
{ group = 2, type = 0, id = 406, propability = 3, count = 1 }, --笙狼道靴
{ group = 2, type = 0, id = 421, propability = 3, count = 1 }, --天苍宝石
{ group = 2, type = 0, id = 436, propability = 3, count = 1 }, --紫薇宝石
{ group = 2, type = 0, id = 451, propability = 3, count = 1 }, --笙狼宝石
{ group = 3, type = 0, id = 7, propability = 20, count = 1 }, --斩龙屠魔
{ group = 3, type = 0, id = 22, propability = 15, count = 1 }, --冰蓝法杖
{ group = 3, type = 0, id = 37, propability = 15, count = 1 }, --紫光道剑
{ group = 3, type = 0, id = 56, propability = 3, count = 1 }, --破天战甲(男)
{ group = 3, type = 0, id = 71, propability = 3, count = 1 }, --破天战甲(女)
{ group = 3, type = 0, id = 86, propability = 3, count = 1 }, --翠羽法袍(男)
{ group = 3, type = 0, id = 101, propability = 3, count = 1 }, --翠羽法袍(女)
{ group = 3, type = 0, id = 116, propability = 3, count = 1 }, --蓝凌道铠(男)
{ group = 3, type = 0, id = 131, propability = 3, count = 1 }, --蓝凌道铠(女)
{ group = 3, type = 0, id = 147, propability = 3, count = 1 }, --破天腰带
{ group = 3, type = 0, id = 162, propability = 3, count = 1 }, --翠羽腰带
{ group = 3, type = 0, id = 177, propability = 3, count = 1 }, --蓝凌腰带
{ group = 3, type = 0, id = 193, propability = 3, count = 1 }, --破天头盔
{ group = 3, type = 0, id = 208, propability = 3, count = 1 }, --翠羽头盔
{ group = 3, type = 0, id = 223, propability = 3, count = 1 }, --蓝凌头盔
{ group = 3, type = 0, id = 239, propability = 3, count = 1 }, --破天项链
{ group = 3, type = 0, id = 254, propability = 3, count = 1 }, --翠羽项链
{ group = 3, type = 0, id = 269, propability = 3, count = 1 }, --蓝凌项链
