{ group = 0, type = 0, id = 370, propability = 50, count = 1, bind = 1 }, --祝福油
{ group = 0, type = 0, id = 684, propability = 2, count = 1 }, --新手锦囊
{ group = 1, type = 0, id = 12, propability = 1, count = 1 }, --狂战手镯
{ group = 1, type = 0, id = 13, propability = 1, count = 1 }, --狂战戒指
{ group = 1, type = 0, id = 19, propability = 1, count = 1 }, --附灵手镯
{ group = 1, type = 0, id = 20, propability = 1, count = 1 }, --附灵戒指
{ group = 1, type = 0, id = 26, propability = 1, count = 1 }, --神魂手镯
{ group = 1, type = 0, id = 27, propability = 1, count = 1 }, --神魂戒指
{ group = 1, type = 0, id = 582, propability = 2, count = 1 }, --阎罗宝石
{ group = 1, type = 0, id = 583, propability = 2, count = 1 }, --阎罗腰带
{ group = 1, type = 0, id = 584, propability = 2, count = 1 }, --阎罗便鞋
{ group = 2, type = 0, id = 427, propability = 8, count = 1 }, --弦月剑法
{ group = 2, type = 0, id = 428, propability = 8, count = 1 }, --战神冲撞
{ group = 2, type = 0, id = 429, propability = 8, count = 1 }, --烈焰剑法
{ group = 2, type = 0, id = 436, propability = 8, count = 1 }, --穿透闪电
{ group = 2, type = 0, id = 437, propability = 8, count = 1 }, --神圣雷光
{ group = 2, type = 0, id = 438, propability = 8, count = 1 }, --魔法护盾
{ group = 2, type = 0, id = 439, propability = 8, count = 1 }, --冰风暴
{ group = 2, type = 0, id = 448, propability = 8, count = 1 }, --神圣护身术
{ group = 2, type = 0, id = 449, propability = 8, count = 1 }, --群体恢复术
{ group = 2, type = 0, id = 450, propability = 8, count = 1 }, --高级召唤术
{ group = 3, type = 0, id = 338, propability = 1, count = 1 }, --超级金创药
{ group = 3, type = 0, id = 345, propability = 1, count = 1 }, --超级魔法药
