{ group = 0, type = 0, id = 338, propability = 1, count = 1 }, --超级金创药
{ group = 0, type = 0, id = 345, propability = 1, count = 1 }, --超级魔法药
{ group = 0, type = 0, id = 277, propability = 5, count = 1 }, --鉴定图鉴
{ group = 0, type = 0, id = 354, propability = 2000, count = 1 }, --红玫瑰
{ group = 0, type = 0, id = 370, propability = 10, count = 1 }, --祝福油
{ group = 0, type = 0, id = 585, propability = 75, count = 1 }, --命运战靴
{ group = 0, type = 0, id = 586, propability = 75, count = 1 }, --天神法履
{ group = 0, type = 0, id = 587, propability = 75, count = 1 }, --虹魔道鞋
{ group = 0, type = 0, id = 588, propability = 150, count = 1 }, --命运项链
{ group = 0, type = 0, id = 589, propability = 150, count = 1 }, --天神项链
{ group = 0, type = 0, id = 590, propability = 150, count = 1 }, --虹魔项链
{ group = 0, type = 0, id = 591, propability = 100, count = 1 }, --命运腰带
{ group = 0, type = 0, id = 592, propability = 100, count = 1 }, --天神腰带
{ group = 0, type = 0, id = 593, propability = 100, count = 1 }, --虹魔腰带
{ group = 1, type = 0, id = 33, propability = 24, count = 1 }, --藤域手镯
{ group = 1, type = 0, id = 34, propability = 24, count = 1 }, --藤域腰带
{ group = 1, type = 0, id = 35, propability = 24, count = 1 }, --藤域战靴
{ group = 1, type = 0, id = 36, propability = 24, count = 1 }, --藤域宝石
{ group = 1, type = 0, id = 44, propability = 24, count = 1 }, --神域手镯
{ group = 1, type = 0, id = 45, propability = 24, count = 1 }, --神域腰带
{ group = 1, type = 0, id = 46, propability = 24, count = 1 }, --神域法履
{ group = 1, type = 0, id = 47, propability = 24, count = 1 }, --神域宝石
{ group = 1, type = 0, id = 48, propability = 24, count = 1 }, --神域戒指
{ group = 1, type = 0, id = 55, propability = 24, count = 1 }, --木域手镯
{ group = 1, type = 0, id = 56, propability = 24, count = 1 }, --木域腰带
{ group = 1, type = 0, id = 57, propability = 24, count = 1 }, --木域道鞋
{ group = 1, type = 0, id = 58, propability = 24, count = 1 }, --木域宝石
{ group = 1, type = 0, id = 59, propability = 24, count = 1 }, --木域戒指
{ group = 1, type = 0, id = 61, propability = 58, count = 1 }, --圣魂斩
{ group = 1, type = 0, id = 62, propability = 58, count = 1 }, --帝王战甲(男)
{ group = 1, type = 0, id = 63, propability = 58, count = 1 }, --帝王战甲(女)
{ group = 1, type = 0, id = 64, propability = 58, count = 1 }, --帝王头盔
{ group = 1, type = 0, id = 65, propability = 58, count = 1 }, --帝王项链
{ group = 1, type = 0, id = 66, propability = 58, count = 1 }, --帝王护腕
{ group = 1, type = 0, id = 67, propability = 58, count = 1 }, --帝王腰带
{ group = 1, type = 0, id = 68, propability = 58, count = 1 }, --帝王战靴
{ group = 1, type = 0, id = 69, propability = 58, count = 1 }, --帝王宝石
{ group = 1, type = 0, id = 70, propability = 58, count = 1 }, --帝王戒指
{ group = 1, type = 0, id = 72, propability = 58, count = 1 }, --龙鳞刀
{ group = 1, type = 0, id = 73, propability = 58, count = 1 }, --火神魔袍(男)
{ group = 1, type = 0, id = 74, propability = 58, count = 1 }, --火神魔袍(女)
{ group = 1, type = 0, id = 75, propability = 58, count = 1 }, --火神头盔
{ group = 1, type = 0, id = 76, propability = 58, count = 1 }, --火神项链
{ group = 1, type = 0, id = 77, propability = 58, count = 1 }, --火神手镯
{ group = 1, type = 0, id = 78, propability = 58, count = 1 }, --火神腰带
{ group = 1, type = 0, id = 79, propability = 58, count = 1 }, --火神法履
{ group = 1, type = 0, id = 80, propability = 58, count = 1 }, --火神宝石
{ group = 1, type = 0, id = 81, propability = 58, count = 1 }, --火神戒指
{ group = 1, type = 0, id = 83, propability = 58, count = 1 }, --镇魔剑
{ group = 1, type = 0, id = 84, propability = 58, count = 1 }, --海神道衣(男)
{ group = 1, type = 0, id = 85, propability = 58, count = 1 }, --海神道衣(女)
