{ group = 0, type = 0, id = 526, propability = 2, count = 0, mincount = 1, maxcount = 2 }, --招魂幡三
{ group = 0, type = 0, id = 856, propability = 6, count = 1 }, --英雄技能残页
{ group = 0, type = 0, id = 702, propability = 5, count = 1 }, --初级怒气丹
{ group = 0, type = 0, id = 703, propability = 8, count = 1 }, --中级怒气丹
{ group = 0, type = 0, id = 277, propability = 5, count = 1 }, --鉴定图鉴
{ group = 0, type = 0, id = 370, propability = 15, count = 1 }, --祝福油
{ group = 0, type = 0, id = 338, propability = 1, count = 1 }, --超级金创药
{ group = 0, type = 0, id = 345, propability = 1, count = 1 }, --超级魔法药
{ group = 0, type = 0, id = 338, propability = 2, count = 1 }, --超级金创药
{ group = 0, type = 0, id = 345, propability = 2, count = 1 }, --超级魔法药
{ group = 1, type = 0, id = 350, propability = 3, count = 1 }, --强效太阳水
{ group = 1, type = 0, id = 354, propability = 1500, count = 1 }, --红玫瑰
{ group = 2, type = 0, id = 166, propability = 3427, count = 1 }, --圣灵腰带
{ group = 2, type = 0, id = 167, propability = 3427, count = 1 }, --圣灵战靴
{ group = 2, type = 0, id = 168, propability = 3427, count = 1 }, --圣灵宝石
{ group = 2, type = 0, id = 169, propability = 3427, count = 1 }, --圣灵戒指
{ group = 2, type = 0, id = 177, propability = 3427, count = 1 }, --雪域腰带
{ group = 2, type = 0, id = 178, propability = 3427, count = 1 }, --雪域魔鞋
{ group = 2, type = 0, id = 179, propability = 3427, count = 1 }, --雪域宝石
{ group = 2, type = 0, id = 180, propability = 3427, count = 1 }, --雪域戒指
{ group = 2, type = 0, id = 188, propability = 3427, count = 1 }, --天罡腰带
{ group = 2, type = 0, id = 189, propability = 3427, count = 1 }, --天罡道鞋
{ group = 2, type = 0, id = 190, propability = 3427, count = 1 }, --天罡宝石
{ group = 2, type = 0, id = 191, propability = 3427, count = 1 }, --天罡之戒
{ group = 2, type = 0, id = 197, propability = 8397, count = 1 }, --金阳项链
{ group = 2, type = 0, id = 197, propability = 8397, count = 1 }, --金阳项链
{ group = 2, type = 0, id = 202, propability = 4198, count = 1 }, --金阳戒指
{ group = 2, type = 0, id = 208, propability = 16793, count = 1 }, --审判项链
{ group = 2, type = 0, id = 208, propability = 16793, count = 1 }, --审判项链
{ group = 2, type = 0, id = 213, propability = 4198, count = 1 }, --审判戒指
{ group = 2, type = 0, id = 219, propability = 16793, count = 1 }, --玄冥项链
{ group = 2, type = 0, id = 219, propability = 16793, count = 1 }, --玄冥项链
{ group = 2, type = 0, id = 224, propability = 4198, count = 1 }, --玄冥戒指
{ group = 2, type = 0, id = 612, propability = 12, count = 1 }, --命运头盔
{ group = 2, type = 0, id = 613, propability = 16, count = 1 }, --天神头盔
{ group = 2, type = 0, id = 614, propability = 16, count = 1 }, --虹魔头盔
{ group = 2, type = 0, id = 594, propability = 53, count = 1 }, --玄铁宝石
{ group = 2, type = 0, id = 595, propability = 53, count = 1 }, --星光宝石
{ group = 2, type = 0, id = 596, propability = 53, count = 1 }, --两仪宝石
{ group = 2, type = 0, id = 597, propability = 53, count = 1 }, --玄铁手镯
{ group = 2, type = 0, id = 598, propability = 53, count = 1 }, --星光手镯
{ group = 2, type = 0, id = 599, propability = 53, count = 1 }, --两仪手镯
{ group = 2, type = 0, id = 600, propability = 53, count = 1 }, --玄铁项链
{ group = 2, type = 0, id = 601, propability = 53, count = 1 }, --星光项链
{ group = 2, type = 0, id = 602, propability = 53, count = 1 }, --两仪项链
{ group = 2, type = 0, id = 585, propability = 58, count = 1 }, --命运战靴
{ group = 2, type = 0, id = 586, propability = 58, count = 1 }, --天神法履
{ group = 2, type = 0, id = 587, propability = 58, count = 1 }, --虹魔道鞋
{ group = 2, type = 0, id = 588, propability = 58, count = 1 }, --命运项链
{ group = 2, type = 0, id = 589, propability = 58, count = 1 }, --天神项链
{ group = 2, type = 0, id = 590, propability = 58, count = 1 }, --虹魔项链
{ group = 2, type = 0, id = 591, propability = 58, count = 1 }, --命运腰带
{ group = 2, type = 0, id = 592, propability = 58, count = 1 }, --天神腰带
{ group = 2, type = 0, id = 593, propability = 58, count = 1 }, --虹魔腰带
{ group = 2, type = 0, id = 615, propability = 56, count = 1 }, --雷霆头盔
{ group = 2, type = 0, id = 616, propability = 56, count = 1 }, --星灿头盔
{ group = 2, type = 0, id = 617, propability = 56, count = 1 }, --玄灵头盔
{ group = 2, type = 0, id = 603, propability = 196, count = 1 }, --雷霆腰带
{ group = 2, type = 0, id = 604, propability = 196, count = 1 }, --星灿腰带
