{ group = 0, type = 0, id = 1484, propability = 1, count = 0, mincount = 1, maxcount = 3 }, --1–«
{ group = 0, type = 0, id = 1485, propability = 4, count = 0, mincount = 1, maxcount = 2 }, --2–«
{ group = 0, type = 0, id = 1486, propability = 3, count = 0, mincount = 1, maxcount = 2 }, --3–«
{ group = 0, type = 0, id = 1487, propability = 2, count = 0, mincount = 1, maxcount = 1 }, --4–«
{ group = 0, type = 0, id = 1488, propability = 25, count = 0, mincount = 1, maxcount = 1 }, --5–«
{ group = 0, type = 0, id = 1489, propability = 3, count = 0, mincount = 1, maxcount = 2 }, --6–«
{ group = 0, type = 0, id = 1490, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --7–«
{ group = 0, type = 0, id = 1491, propability = 4, count = 0, mincount = 1, maxcount = 2 }, --8–«
{ group = 0, type = 0, id = 1492, propability = 25, count = 0, mincount = 1, maxcount = 1 }, --9–«
{ group = 0, type = 0, id = 407, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --Ω⁄»’—Ãª®
{ group = 0, type = 0, id = 1362, propability = 15, count = 0, mincount = 0, maxcount = 1 }, --…Ò√ÿ≤ µ∞
