{ group = 0, type = 0, id = 280, propability = 27, count = 1 }, --Ò»¼¶ÁéÖé
{ group = 0, type = 0, id = 281, propability = 100, count = 1 }, --¶ş¼¶ÁéÖé
{ group = 0, type = 0, id = 282, propability = 333, count = 1 }, --Èı¼¶ÁéÖé
{ group = 0, type = 0, id = 277, propability = 4, count = 1 }, --¼ø¶¨Í¼¼ø
{ group = 0, type = 0, id = 274, propability = 4, count = 1 }, --ÂÌ±¦Ê¯
{ group = 0, type = 0, id = 275, propability = 10, count = 1 }, --×ÏË®¾§
{ group = 0, type = 0, id = 278, propability = 17, count = 1 }, --ÇåÏ´É°
{ group = 0, type = 0, id = 731, propability = 15, count = 1 }, --¿ìÂí±Ş
{ group = 0, type = 0, id = 2559, propability = 432, count = 1 }, --ÁúÍõ¾«ÆÇ
{ group = 1, type = 0, id = 163, propability = 1000, count = 1 }, --Ê¥ÁéÍ·¿ø
{ group = 1, type = 0, id = 166, propability = 1000, count = 1 }, --Ê¥ÁéÑü´ø
{ group = 1, type = 0, id = 167, propability = 1000, count = 1 }, --Ê¥ÁéÕ½Ñ¥
{ group = 1, type = 0, id = 168, propability = 1000, count = 1 }, --Ê¥Áé±¦Ê¯
{ group = 1, type = 0, id = 169, propability = 1000, count = 1 }, --Ê¥Áé½äÖ¸
{ group = 1, type = 0, id = 174, propability = 1000, count = 1 }, --Ñ©ÓòÍ·¿ø
{ group = 1, type = 0, id = 177, propability = 1000, count = 1 }, --Ñ©ÓòÑü´ø
{ group = 1, type = 0, id = 178, propability = 1000, count = 1 }, --Ñ©ÓòÄ§Ğ¬
{ group = 1, type = 0, id = 179, propability = 1000, count = 1 }, --Ñ©Óò±¦Ê¯
{ group = 1, type = 0, id = 180, propability = 1000, count = 1 }, --Ñ©Óò½äÖ¸
{ group = 1, type = 0, id = 185, propability = 1000, count = 1 }, --Ììî¸Í·¿ø
{ group = 1, type = 0, id = 188, propability = 1000, count = 1 }, --Ììî¸Ñü´ø
{ group = 1, type = 0, id = 189, propability = 1000, count = 1 }, --Ììî¸µÀĞ¬
{ group = 1, type = 0, id = 190, propability = 1000, count = 1 }, --Ììî¸±¦Ê¯
{ group = 1, type = 0, id = 191, propability = 1000, count = 1 }, --Ììî¸Ö®½ä
{ group = 1, type = 0, id = 131, propability = 400, count = 1 }, --»ğÁúÏîÁ´
{ group = 1, type = 0, id = 132, propability = 400, count = 1 }, --»ğÁúÊÖïí
{ group = 1, type = 0, id = 136, propability = 400, count = 1 }, --»ğÁú½äÖ¸
{ group = 1, type = 0, id = 138, propability = 400, count = 1 }, --Ò×Ñª¿ñÁú
{ group = 1, type = 0, id = 142, propability = 400, count = 1 }, --À×Ñ×ÏîÁ´
{ group = 1, type = 0, id = 143, propability = 400, count = 1 }, --À×Ñ×ÊÖïí
{ group = 1, type = 0, id = 147, propability = 400, count = 1 }, --À×Ñ×½äÖ¸
{ group = 1, type = 0, id = 149, propability = 400, count = 1 }, --·ïÎè¿ñÉ³
{ group = 1, type = 0, id = 153, propability = 400, count = 1 }, --Ç¬À¤ÏîÁ´
{ group = 1, type = 0, id = 154, propability = 400, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 1, type = 0, id = 158, propability = 400, count = 1 }, --Ç¬À¤½äÖ¸
{ group = 1, type = 0, id = 137, propability = 400, count = 1 }, --ºùÂ«Ñ«ÕÂ
{ group = 1, type = 0, id = 148, propability = 400, count = 1 }, --ÌúÑªÑ«ÕÂ
{ group = 1, type = 0, id = 159, propability = 400, count = 1 }, --ÈÙÓşÑ«ÕÂ
{ group = 1, type = 0, id = 606, propability = 50, count = 1 }, --À×öªÕ½Ñ¥
