{ group = 0, type = 0, id = 751, propability = 500, count = 1, bind = 1 }, --ÀëÏßĞŞÁ¶µ¤
{ group = 0, type = 0, id = 745, propability = 1200, count = 1 }, --×£¸£ÓÍ
{ group = 0, type = 0, id = 688, propability = 100, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 100, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 150, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 150, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 1, type = 0, id = 924, propability = 25, count = 1, bind = 1 }, --ÑªÓ¡Ëé¾§(Ğ¡)
{ group = 1, type = 0, id = 927, propability = 25, count = 1, bind = 1 }, --Ğş¶ÜËé¾§(Ğ¡)
{ group = 2, type = 0, id = 5, propability = 220500, count = 1 }, --ÁúÁÛ½£
{ group = 2, type = 0, id = 54, propability = 137815, count = 1 }, --ÁúÁÛÕ½¼×(ÄĞ)
{ group = 2, type = 0, id = 69, propability = 137815, count = 1 }, --ÁúÁÛÕ½¼×(Å®)
{ group = 2, type = 0, id = 145, propability = 119070, count = 1 }, --ÁúÁÛÑü´ø
{ group = 2, type = 0, id = 191, propability = 119070, count = 1 }, --ÁúÁÛÍ·¿ø
{ group = 2, type = 0, id = 237, propability = 119070, count = 1 }, --ÁúÁÛÏîÁ´
{ group = 2, type = 0, id = 283, propability = 119070, count = 1 }, --ÁúÁÛÊÖïí
{ group = 2, type = 0, id = 329, propability = 119070, count = 1 }, --ÁúÁÛ½äÖ¸
{ group = 2, type = 0, id = 375, propability = 119070, count = 1 }, --ÁúÁÛÕ½Ñ¥
{ group = 2, type = 0, id = 420, propability = 119070, count = 1 }, --ÁúÁÛ±¦Ê¯
{ group = 2, type = 0, id = 20, propability = 220500, count = 1 }, --ºìÓñÓ°ÈĞ
{ group = 2, type = 0, id = 84, propability = 137815, count = 1 }, --ºìÓñ·¨ÅÛ(ÄĞ)
{ group = 2, type = 0, id = 99, propability = 137815, count = 1 }, --ºìÓñ·¨ÅÛ(Å®)
{ group = 2, type = 0, id = 160, propability = 119070, count = 1 }, --ºìÓñÑü´ø
{ group = 2, type = 0, id = 206, propability = 119070, count = 1 }, --ºìÓñÍ·¿ø
{ group = 2, type = 0, id = 252, propability = 119070, count = 1 }, --ºìÓñÏîÁ´
{ group = 2, type = 0, id = 298, propability = 119070, count = 1 }, --ºìÓñÊÖïí
{ group = 2, type = 0, id = 344, propability = 119070, count = 1 }, --ºìÓñ½äÖ¸
{ group = 2, type = 0, id = 390, propability = 119070, count = 1 }, --ºìÓñ·¨Ñ¥
{ group = 2, type = 0, id = 435, propability = 119070, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 2, type = 0, id = 35, propability = 220500, count = 1 }, --ĞşìÇÉñ½£
{ group = 2, type = 0, id = 114, propability = 137815, count = 1 }, --ĞşìÇµÀîø(ÄĞ)
{ group = 2, type = 0, id = 129, propability = 137815, count = 1 }, --ĞşìÇµÀîø(Å®)
{ group = 2, type = 0, id = 175, propability = 119070, count = 1 }, --ĞşìÇÑü´ø
{ group = 2, type = 0, id = 221, propability = 119070, count = 1 }, --ĞşìÇÍ·¿ø
{ group = 2, type = 0, id = 267, propability = 119070, count = 1 }, --ĞşìÇÏîÁ´
{ group = 2, type = 0, id = 313, propability = 119070, count = 1 }, --ĞşìÇÊÖïí
{ group = 2, type = 0, id = 359, propability = 119070, count = 1 }, --ĞşìÇ½äÖ¸
{ group = 2, type = 0, id = 405, propability = 119070, count = 1 }, --ĞşìÇµÀÑ¥
{ group = 2, type = 0, id = 450, propability = 148840, count = 1 }, --ĞşìÇ±¦Ê¯
{ group = 3, type = 0, id = 6, propability = 216000, count = 1 }, --»ğÁÃÌì²Ô
{ group = 3, type = 0, id = 55, propability = 239262, count = 1 }, --Ìì²ÔÕ½¼×(ÄĞ)
{ group = 3, type = 0, id = 70, propability = 239262, count = 1 }, --Ìì²ÔÕ½¼×(Å®)
{ group = 3, type = 0, id = 146, propability = 104728, count = 1 }, --Ìì²ÔÑü´ø
{ group = 3, type = 0, id = 192, propability = 132924, count = 1 }, --Ìì²ÔÍ·¿ø
{ group = 3, type = 0, id = 238, propability = 104728, count = 1 }, --Ìì²ÔÏîÁ´
{ group = 3, type = 0, id = 284, propability = 93406, count = 1 }, --Ìì²ÔÊÖïí
{ group = 3, type = 0, id = 330, propability = 93406, count = 1 }, --Ìì²Ô½äÖ¸
{ group = 3, type = 0, id = 376, propability = 104728, count = 1 }, --Ìì²ÔÕ½Ñ¥
{ group = 3, type = 0, id = 421, propability = 104728, count = 1 }, --Ìì²Ô±¦Ê¯
{ group = 3, type = 0, id = 21, propability = 216000, count = 1 }, --×ÏŞ±Ó³ÔÂ
{ group = 3, type = 0, id = 85, propability = 239262, count = 1 }, --×ÏŞ±·¨ÅÛ(ÄĞ)
{ group = 3, type = 0, id = 100, propability = 239262, count = 1 }, --×ÏŞ±·¨ÅÛ(Å®)
{ group = 3, type = 0, id = 161, propability = 104728, count = 1 }, --×ÏŞ±Ñü´ø
{ group = 3, type = 0, id = 207, propability = 132924, count = 1 }, --×ÏŞ±Í·¿ø
{ group = 3, type = 0, id = 253, propability = 104728, count = 1 }, --×ÏŞ±ÏîÁ´
{ group = 3, type = 0, id = 299, propability = 93406, count = 1 }, --×ÏŞ±ÊÖïí
{ group = 3, type = 0, id = 345, propability = 93406, count = 1 }, --×ÏŞ±½äÖ¸
{ group = 3, type = 0, id = 391, propability = 104728, count = 1 }, --×ÏŞ±·¨Ñ¥
{ group = 3, type = 0, id = 436, propability = 104728, count = 1 }, --×ÏŞ±±¦Ê¯
{ group = 3, type = 0, id = 36, propability = 216000, count = 1 }, --óÏÀÇµÀ½£
{ group = 3, type = 0, id = 115, propability = 239262, count = 1 }, --óÏÀÇµÀîø(ÄĞ)
{ group = 3, type = 0, id = 130, propability = 239262, count = 1 }, --óÏÀÇµÀîø(Å®)
{ group = 3, type = 0, id = 176, propability = 104728, count = 1 }, --óÏÀÇÑü´ø
{ group = 3, type = 0, id = 222, propability = 132924, count = 1 }, --óÏÀÇÍ·¿ø
{ group = 3, type = 0, id = 268, propability = 104728, count = 1 }, --óÏÀÇÏîÁ´
{ group = 3, type = 0, id = 314, propability = 93406, count = 1 }, --óÏÀÇÊÖïí
{ group = 3, type = 0, id = 360, propability = 93406, count = 1 }, --óÏÀÇ½äÖ¸
{ group = 3, type = 0, id = 406, propability = 104728, count = 1 }, --óÏÀÇµÀÑ¥
{ group = 3, type = 0, id = 451, propability = 104728, count = 1 }, --óÏÀÇ±¦Ê¯
{ group = 4, type = 0, id = 7, propability = 1890000, count = 1 }, --Õ¶ÁúÍÀÄ§
{ group = 4, type = 0, id = 56, propability = 1855635, count = 1 }, --ÆÆÌìÕ½¼×(ÄĞ)
{ group = 4, type = 0, id = 71, propability = 1855635, count = 1 }, --ÆÆÌìÕ½¼×(Å®)
{ group = 4, type = 0, id = 147, propability = 782070, count = 1 }, --ÆÆÌìÑü´ø
{ group = 4, type = 0, id = 193, propability = 1030910, count = 1 }, --ÆÆÌìÍ·¿ø
{ group = 4, type = 0, id = 239, propability = 782070, count = 1 }, --ÆÆÌìÏîÁ´
{ group = 4, type = 0, id = 285, propability = 782070, count = 1 }, --ÆÆÌìÊÖïí
{ group = 4, type = 0, id = 331, propability = 782070, count = 1 }, --ÆÆÌì½äÖ¸
{ group = 4, type = 0, id = 377, propability = 782070, count = 1 }, --ÆÆÌìÕ½Ñ¥
{ group = 4, type = 0, id = 422, propability = 782070, count = 1 }, --ÆÆÌì±¦Ê¯
{ group = 4, type = 0, id = 22, propability = 1890000, count = 1 }, --±ùÀ¶·¨ÕÈ
{ group = 4, type = 0, id = 86, propability = 1855635, count = 1 }, --´äÓğ·¨ÅÛ(ÄĞ)
{ group = 4, type = 0, id = 101, propability = 1855635, count = 1 }, --´äÓğ·¨ÅÛ(Å®)
{ group = 4, type = 0, id = 162, propability = 782070, count = 1 }, --´äÓğÑü´ø
{ group = 4, type = 0, id = 208, propability = 1030910, count = 1 }, --´äÓğÍ·¿ø
{ group = 4, type = 0, id = 254, propability = 782070, count = 1 }, --´äÓğÏîÁ´
{ group = 4, type = 0, id = 300, propability = 782070, count = 1 }, --´äÓğÊÖïí
{ group = 4, type = 0, id = 346, propability = 782070, count = 1 }, --´äÓğ½äÖ¸
{ group = 4, type = 0, id = 392, propability = 782070, count = 1 }, --´äÓğ·¨Ñ¥
{ group = 4, type = 0, id = 437, propability = 782070, count = 1 }, --´äÓğ±¦Ê¯
{ group = 4, type = 0, id = 37, propability = 1890000, count = 1 }, --×Ï¹âµÀ½£
{ group = 4, type = 0, id = 116, propability = 1855635, count = 1 }, --À¶ÁèµÀîø(ÄĞ)
{ group = 4, type = 0, id = 131, propability = 1855635, count = 1 }, --À¶ÁèµÀîø(Å®)
{ group = 4, type = 0, id = 177, propability = 782070, count = 1 }, --À¶ÁèÑü´ø
{ group = 4, type = 0, id = 223, propability = 1030910, count = 1 }, --À¶ÁèÍ·¿ø
