{ group = 0, type = 0, id = 1036, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --Ç§Íò¾­ÑéÁé·û
{ group = 0, type = 0, id = 829, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --Ó¢ĞÛ¾­Ñéµ¤(ÖĞ)
{ group = 0, type = 0, id = 354, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --ºìÃµ¹å
{ group = 0, type = 0, id = 703, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --ÖĞ¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 704, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --¸ß¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 281, propability = 1, count = 0, mincount = 2, maxcount = 4, bind = 1 }, --¶ş¼¶ÁéÖé
{ group = 0, type = 0, id = 282, propability = 1, count = 0, mincount = 2, maxcount = 3, bind = 1 }, --Èı¼¶ÁéÖé
{ group = 0, type = 0, id = 283, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ËÄ¼¶ÁéÖé
{ group = 0, type = 0, id = 330, propability = 1, count = 0, mincount = 2, maxcount = 3, bind = 1 }, --2±¶¾­ÑéÉñ·û
{ group = 0, type = 0, id = 626, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --3±¶¾­ÑéÉñ·û
{ group = 0, type = 0, id = 1072, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ÍòÄêÈË²Î
{ group = 0, type = 0, id = 1074, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ÍòÄêÑ©Á«
{ group = 0, type = 0, id = 1755, propability = 1, count = 0, mincount = 3, maxcount = 8, bind = 1 }, --ÁéÁ¦µ¤(Ğ¡)
{ group = 0, type = 0, id = 1769, propability = 1, count = 1, bind = 1 }, --°Ë±¦×Ï½ğºùÂ«Í¼Æ×
{ group = 0, type = 0, id = 1770, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ÁÒ»ğĞşÊ¯
{ group = 0, type = 0, id = 1771, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ÌìµØ½á¾§
{ group = 1, type = 0, id = 202, propability = 1, count = 1, bind = 0 }, --½ğÑô½äÖ¸
{ group = 1, type = 0, id = 213, propability = 1, count = 1, bind = 0 }, --ÉóÅĞ½äÖ¸
{ group = 1, type = 0, id = 224, propability = 1, count = 1, bind = 0 }, --ĞşÚ¤½äÖ¸
{ group = 1, type = 0, id = 246, propability = 1, count = 1, bind = 0 }, --ÁÒÑæ½äÖ¸
{ group = 1, type = 0, id = 235, propability = 1, count = 1, bind = 0 }, --Ç§¾û½äÖ¸
{ group = 1, type = 0, id = 257, propability = 1, count = 1, bind = 0 }, --Ú¤÷È½äÖ¸
{ group = 1, type = 0, id = 254, propability = 1, count = 1, bind = 0 }, --Ú¤÷ÈÑü´ø
{ group = 1, type = 0, id = 232, propability = 1, count = 1, bind = 0 }, --Ç§¾ûÑü´ø
{ group = 1, type = 0, id = 221, propability = 1, count = 1, bind = 0 }, --ĞşÚ¤Ñü´ø
{ group = 1, type = 0, id = 210, propability = 1, count = 1, bind = 0 }, --ÉóÅĞÑü´ø
{ group = 1, type = 0, id = 243, propability = 1, count = 1, bind = 0 }, --ÁÒÑæÑü´ø
{ group = 1, type = 0, id = 199, propability = 1, count = 1, bind = 0 }, --½ğÑôÑü´ø
{ group = 1, type = 0, id = 198, propability = 1, count = 1, bind = 0 }, --½ğÑôÊÖïí
{ group = 1, type = 0, id = 209, propability = 1, count = 1, bind = 0 }, --ÉóÅĞÊÖïí
{ group = 1, type = 0, id = 220, propability = 1, count = 1, bind = 0 }, --ĞşÚ¤ÊÖïí
{ group = 1, type = 0, id = 242, propability = 1, count = 1, bind = 0 }, --ÁÒÑæÊÖïí
{ group = 1, type = 0, id = 231, propability = 1, count = 1, bind = 0 }, --Ç§¾ûÊÖïí
{ group = 1, type = 0, id = 253, propability = 1, count = 1, bind = 0 }, --Ú¤÷ÈÊÖïí
{ group = 1, type = 0, id = 256, propability = 1, count = 1, bind = 0 }, --Ú¤÷È±¦Ê¯
{ group = 1, type = 0, id = 234, propability = 1, count = 1, bind = 0 }, --Ç§¾û±¦Ê¯
{ group = 1, type = 0, id = 223, propability = 1, count = 1, bind = 0 }, --ĞşÚ¤±¦Ê¯
{ group = 1, type = 0, id = 212, propability = 1, count = 1, bind = 0 }, --ÉóÅĞ±¦Ê¯
{ group = 1, type = 0, id = 245, propability = 1, count = 1, bind = 0 }, --ÁÒÑæ±¦Ê¯
{ group = 1, type = 0, id = 201, propability = 1, count = 1, bind = 0 }, --½ğÑô±¦Ê¯
{ group = 1, type = 0, id = 208, propability = 1, count = 1, bind = 0 }, --ÉóÅĞÏîÁ´
