{ group = 0, type = 0, id = 1036, propability = 1, count = 0, mincount = 5, maxcount = 10, bind = 1 }, --千万经验灵符
{ group = 0, type = 0, id = 1037, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --一亿经验灵符
{ group = 0, type = 0, id = 829, propability = 1, count = 0, mincount = 5, maxcount = 10, bind = 1 }, --英雄经验丹(中)
{ group = 0, type = 0, id = 830, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --英雄经验丹(大)
{ group = 0, type = 0, id = 1050, propability = 1, count = 0, mincount = 2, maxcount = 3, bind = 1 }, --经验灵石(大)
{ group = 0, type = 0, id = 354, propability = 1, count = 0, mincount = 15, maxcount = 20, bind = 1 }, --红玫瑰
{ group = 0, type = 0, id = 355, propability = 1, count = 0, mincount = 2, maxcount = 3, bind = 1 }, --9朵红玫瑰
{ group = 0, type = 0, id = 382, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --防御药水(大)
{ group = 0, type = 0, id = 376, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --魔法药水(大)
{ group = 0, type = 0, id = 373, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --生命药水(大)
{ group = 0, type = 0, id = 703, propability = 1, count = 0, mincount = 5, maxcount = 8, bind = 1 }, --中级怒气丹
{ group = 0, type = 0, id = 704, propability = 1, count = 0, mincount = 3, maxcount = 6, bind = 1 }, --高级怒气丹
{ group = 0, type = 0, id = 282, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --三级灵珠
{ group = 0, type = 0, id = 283, propability = 1, count = 0, mincount = 2, maxcount = 5, bind = 1 }, --四级灵珠
{ group = 0, type = 0, id = 1402, propability = 1, count = 0, mincount = 2, maxcount = 4, bind = 1 }, --五级灵珠
{ group = 0, type = 0, id = 2258, propability = 1, count = 0, mincount = 0, maxcount = 1, bind = 1 }, --血元
{ group = 0, type = 0, id = 628, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --5倍经验神符
{ group = 0, type = 0, id = 682, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --4倍经验神符
{ group = 0, type = 0, id = 1072, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --万年人参
{ group = 0, type = 0, id = 1074, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --万年雪莲
{ group = 0, type = 0, id = 1755, propability = 1, count = 0, mincount = 12, maxcount = 15, bind = 1 }, --灵力丹(小)
{ group = 0, type = 0, id = 1756, propability = 1, count = 0, mincount = 3, maxcount = 5, bind = 1 }, --灵力丹(中)
{ group = 0, type = 0, id = 1769, propability = 1, count = 1, bind = 1 }, --八宝紫金葫芦图谱
{ group = 0, type = 0, id = 1770, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --烈火玄石
{ group = 0, type = 0, id = 1771, propability = 1, count = 0, mincount = 1, maxcount = 3, bind = 1 }, --天地结晶
{ group = 1, type = 0, id = 217, propability = 1, count = 1, bind = 0 }, --玄冥道袍(女)
{ group = 1, type = 0, id = 216, propability = 1, count = 1, bind = 0 }, --玄冥道袍(男)
{ group = 1, type = 0, id = 204, propability = 1, count = 1, bind = 0 }, --法神权杖
{ group = 1, type = 0, id = 215, propability = 1, count = 1, bind = 0 }, --易神天蛇
{ group = 1, type = 0, id = 226, propability = 1, count = 1, bind = 0 }, --巨阙
{ group = 1, type = 0, id = 228, propability = 1, count = 1, bind = 0 }, --千钧战甲(女)
{ group = 1, type = 0, id = 249, propability = 1, count = 1, bind = 0 }, --冥魅道衣(男)
{ group = 1, type = 0, id = 248, propability = 1, count = 1, bind = 0 }, --湛蓝
{ group = 1, type = 0, id = 230, propability = 1, count = 1, bind = 0 }, --千钧项链
{ group = 1, type = 0, id = 241, propability = 1, count = 1, bind = 0 }, --烈焰项链
{ group = 1, type = 0, id = 237, propability = 1, count = 1, bind = 0 }, --红莲
{ group = 1, type = 0, id = 250, propability = 1, count = 1, bind = 0 }, --冥魅道衣(女)
{ group = 1, type = 0, id = 227, propability = 1, count = 1, bind = 0 }, --千钧战甲(男)
{ group = 1, type = 0, id = 240, propability = 1, count = 1, bind = 0 }, --烈焰头盔
{ group = 1, type = 0, id = 195, propability = 1, count = 1, bind = 0 }, --金阳战甲(女)
{ group = 1, type = 0, id = 205, propability = 1, count = 1, bind = 0 }, --审判魔袍(男)
{ group = 1, type = 0, id = 193, propability = 1, count = 1, bind = 0 }, --武神唤月
{ group = 1, type = 0, id = 251, propability = 1, count = 1, bind = 0 }, --冥魅头盔
{ group = 1, type = 0, id = 1197, propability = 1, count = 1, bind = 0 }, --炼狱头盔
{ group = 1, type = 0, id = 239, propability = 1, count = 1, bind = 0 }, --烈焰魔袍(女)
{ group = 1, type = 0, id = 252, propability = 1, count = 1, bind = 0 }, --冥魅项链
{ group = 1, type = 0, id = 229, propability = 1, count = 1, bind = 0 }, --千钧头盔
{ group = 1, type = 0, id = 238, propability = 1, count = 1, bind = 0 }, --烈焰魔袍(男)
{ group = 1, type = 0, id = 1220, propability = 1, count = 1, bind = 0 }, --碧海项链
{ group = 1, type = 0, id = 1209, propability = 1, count = 1, bind = 0 }, --辉煌项链
{ group = 1, type = 0, id = 194, propability = 1, count = 1, bind = 0 }, --金阳战甲(男)
{ group = 1, type = 0, id = 206, propability = 1, count = 1, bind = 0 }, --审判魔袍(女)
{ group = 1, type = 0, id = 1198, propability = 1, count = 1, bind = 0 }, --炼狱项链
{ group = 1, type = 0, id = 1219, propability = 1, count = 1, bind = 0 }, --碧海头盔
{ group = 1, type = 0, id = 1208, propability = 1, count = 1, bind = 0 }, --辉煌头盔
{ group = 2, type = 0, id = 1199, propability = 1, count = 1, bind = 0 }, --炼狱护腕
{ group = 2, type = 0, id = 1210, propability = 1, count = 1, bind = 0 }, --辉煌手镯
{ group = 2, type = 0, id = 1219, propability = 1, count = 1, bind = 0 }, --碧海头盔
{ group = 2, type = 0, id = 1211, propability = 1, count = 1, bind = 0 }, --辉煌腰带
{ group = 2, type = 0, id = 1200, propability = 1, count = 1, bind = 0 }, --炼狱腰带
{ group = 2, type = 0, id = 226, propability = 1, count = 1, bind = 0 }, --巨阙
{ group = 2, type = 0, id = 228, propability = 1, count = 1, bind = 0 }, --千钧战甲(女)
{ group = 2, type = 0, id = 1222, propability = 1, count = 1, bind = 0 }, --碧海腰带
{ group = 2, type = 0, id = 1223, propability = 1, count = 1, bind = 0 }, --碧海道鞋
{ group = 2, type = 0, id = 227, propability = 1, count = 1, bind = 0 }, --千钧战甲(男)
{ group = 2, type = 0, id = 1197, propability = 1, count = 1, bind = 0 }, --炼狱头盔
{ group = 2, type = 0, id = 1224, propability = 1, count = 1, bind = 0 }, --碧海宝石
{ group = 2, type = 0, id = 248, propability = 1, count = 1, bind = 0 }, --湛蓝
{ group = 2, type = 0, id = 1198, propability = 1, count = 1, bind = 0 }, --炼狱项链
{ group = 2, type = 0, id = 250, propability = 1, count = 1, bind = 0 }, --冥魅道衣(女)
{ group = 2, type = 0, id = 1212, propability = 1, count = 1, bind = 0 }, --辉煌法履
{ group = 2, type = 0, id = 239, propability = 1, count = 1, bind = 0 }, --烈焰魔袍(女)
{ group = 2, type = 0, id = 1201, propability = 1, count = 1, bind = 0 }, --炼狱战靴
{ group = 2, type = 0, id = 1221, propability = 1, count = 1, bind = 0 }, --碧海手镯
{ group = 2, type = 0, id = 1213, propability = 1, count = 1, bind = 0 }, --辉煌宝石
{ group = 2, type = 0, id = 237, propability = 1, count = 1, bind = 0 }, --红莲
{ group = 2, type = 0, id = 249, propability = 1, count = 1, bind = 0 }, --冥魅道衣(男)
{ group = 2, type = 0, id = 1202, propability = 1, count = 1, bind = 0 }, --炼狱宝石
{ group = 2, type = 0, id = 238, propability = 1, count = 1, bind = 0 }, --烈焰魔袍(男)
{ group = 2, type = 0, id = 1208, propability = 1, count = 1, bind = 0 }, --辉煌头盔
{ group = 2, type = 0, id = 1209, propability = 1, count = 1, bind = 0 }, --辉煌项链
{ group = 2, type = 0, id = 1220, propability = 1, count = 1, bind = 0 }, --碧海项链
{ group = 3, type = 0, id = 1198, propability = 50, count = 1, bind = 0 }, --炼狱项链
{ group = 3, type = 0, id = 1219, propability = 50, count = 1, bind = 0 }, --碧海头盔
{ group = 3, type = 0, id = 1211, propability = 50, count = 1, bind = 0 }, --辉煌腰带
{ group = 3, type = 0, id = 1200, propability = 50, count = 1, bind = 0 }, --炼狱腰带
{ group = 3, type = 0, id = 226, propability = 50, count = 1, bind = 0 }, --巨阙
{ group = 3, type = 0, id = 1222, propability = 50, count = 1, bind = 0 }, --碧海腰带
{ group = 3, type = 0, id = 1197, propability = 50, count = 1, bind = 0 }, --炼狱头盔
{ group = 3, type = 0, id = 248, propability = 50, count = 1, bind = 0 }, --湛蓝
{ group = 3, type = 0, id = 237, propability = 50, count = 1, bind = 0 }, --红莲
{ group = 3, type = 0, id = 1208, propability = 50, count = 1, bind = 0 }, --辉煌头盔
{ group = 3, type = 0, id = 1209, propability = 50, count = 1, bind = 0 }, --辉煌项链
{ group = 3, type = 0, id = 1220, propability = 50, count = 1, bind = 0 }, --碧海项链
{ group = 4, type = 0, id = 1199, propability = 120, count = 1, bind = 0 }, --炼狱护腕
{ group = 4, type = 0, id = 1210, propability = 120, count = 1, bind = 0 }, --辉煌手镯
{ group = 4, type = 0, id = 1196, propability = 120, count = 1, bind = 0 }, --炼狱战甲(女)
{ group = 4, type = 0, id = 1223, propability = 120, count = 1, bind = 0 }, --碧海道鞋
{ group = 4, type = 0, id = 1195, propability = 120, count = 1, bind = 0 }, --炼狱战甲(男)
{ group = 4, type = 0, id = 1224, propability = 120, count = 1, bind = 0 }, --碧海宝石
{ group = 4, type = 0, id = 1218, propability = 120, count = 1, bind = 0 }, --碧海道衣(女)
{ group = 4, type = 0, id = 1212, propability = 120, count = 1, bind = 0 }, --辉煌法履
{ group = 4, type = 0, id = 1207, propability = 120, count = 1, bind = 0 }, --辉煌魔袍(女)
{ group = 4, type = 0, id = 1201, propability = 120, count = 1, bind = 0 }, --炼狱战靴
{ group = 4, type = 0, id = 1221, propability = 120, count = 1, bind = 0 }, --碧海手镯
{ group = 4, type = 0, id = 1213, propability = 120, count = 1, bind = 0 }, --辉煌宝石
{ group = 4, type = 0, id = 1217, propability = 120, count = 1, bind = 0 }, --碧海道衣(男)
{ group = 4, type = 0, id = 1202, propability = 120, count = 1, bind = 0 }, --炼狱宝石
{ group = 4, type = 0, id = 1206, propability = 120, count = 1, bind = 0 }, --辉煌魔袍(男)
{ group = 5, type = 0, id = 1744, propability = 1, count = 0, mincount = 5, maxcount = 10, bind = 1 }, --转生技能残页
{ group = 5, type = 0, id = 1745, propability = 10, count = 1, bind = 1 }, --金钟罩(1级)
{ group = 5, type = 0, id = 1748, propability = 10, count = 1, bind = 1 }, --寒魄掌(1级)
{ group = 5, type = 0, id = 1751, propability = 10, count = 1, bind = 1 }, --吸能术(1级)
