{ group = 0, type = 0, id = 751, propability = 500, count = 1, bind = 1 }, --离线修炼丹
{ group = 0, type = 0, id = 745, propability = 1200, count = 1 }, --祝福油
{ group = 0, type = 0, id = 688, propability = 100, count = 1 }, --归元丹(小)
{ group = 0, type = 0, id = 688, propability = 100, count = 1 }, --归元丹(小)
{ group = 0, type = 0, id = 688, propability = 150, count = 1 }, --归元丹(小)
{ group = 0, type = 0, id = 688, propability = 150, count = 1 }, --归元丹(小)
{ group = 1, type = 0, id = 924, propability = 25, count = 1, bind = 1 }, --血印碎晶(小)
{ group = 1, type = 0, id = 927, propability = 25, count = 1, bind = 1 }, --玄盾碎晶(小)
{ group = 2, type = 0, id = 6, propability = 108000, count = 1 }, --火撩天苍
{ group = 2, type = 0, id = 55, propability = 108000, count = 1 }, --天苍战甲(男)
{ group = 2, type = 0, id = 70, propability = 108000, count = 1 }, --天苍战甲(女)
{ group = 2, type = 0, id = 146, propability = 52364, count = 1 }, --天苍腰带
{ group = 2, type = 0, id = 192, propability = 66462, count = 1 }, --天苍头盔
{ group = 2, type = 0, id = 238, propability = 52364, count = 1 }, --天苍项链
{ group = 2, type = 0, id = 284, propability = 52364, count = 1 }, --天苍手镯
{ group = 2, type = 0, id = 330, propability = 52364, count = 1 }, --天苍戒指
{ group = 2, type = 0, id = 376, propability = 52364, count = 1 }, --天苍战靴
{ group = 2, type = 0, id = 421, propability = 52364, count = 1 }, --天苍宝石
{ group = 2, type = 0, id = 21, propability = 108000, count = 1 }, --紫薇映月
{ group = 2, type = 0, id = 85, propability = 108000, count = 1 }, --紫薇法袍(男)
{ group = 2, type = 0, id = 100, propability = 108000, count = 1 }, --紫薇法袍(女)
{ group = 2, type = 0, id = 161, propability = 52364, count = 1 }, --紫薇腰带
{ group = 2, type = 0, id = 207, propability = 66462, count = 1 }, --紫薇头盔
{ group = 2, type = 0, id = 253, propability = 52364, count = 1 }, --紫薇项链
{ group = 2, type = 0, id = 299, propability = 52364, count = 1 }, --紫薇手镯
{ group = 2, type = 0, id = 345, propability = 52364, count = 1 }, --紫薇戒指
{ group = 2, type = 0, id = 391, propability = 52364, count = 1 }, --紫薇法靴
{ group = 2, type = 0, id = 436, propability = 52364, count = 1 }, --紫薇宝石
{ group = 2, type = 0, id = 36, propability = 108000, count = 1 }, --笙狼道剑
{ group = 2, type = 0, id = 115, propability = 108000, count = 1 }, --笙狼道铠(男)
{ group = 2, type = 0, id = 130, propability = 108000, count = 1 }, --笙狼道铠(女)
