{ group = 0, type = 20, id = 0, propability = 1, count = 3000 }, --野怪经验
{ group = 0, type = 0, id = 354, propability = 1, count = 0, mincount = 7, maxcount = 10 }, --红玫瑰
{ group = 0, type = 0, id = 740, propability = 1, count = 3 }, --大铜锭
{ group = 0, type = 0, id = 1744, propability = 1, count = 0, mincount = 3, maxcount = 6 }, --转生技能残页
{ group = 0, type = 0, id = 1755, propability = 1, count = 0, mincount = 1, maxcount = 4 }, --灵力丹(小)
{ group = 1, type = 0, id = 747, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级物攻魂石
{ group = 1, type = 0, id = 757, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级魔攻魂石
{ group = 1, type = 0, id = 767, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级道攻魂石
{ group = 1, type = 0, id = 777, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级物防魂石
{ group = 1, type = 0, id = 787, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级魔防魂石
{ group = 1, type = 0, id = 797, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级生命魂石
{ group = 1, type = 0, id = 807, propability = 1, count = 0, mincount = 2, maxcount = 4 }, --3级魔法魂石
