{ group = 1, type = 0, id = 281, propability = 4, count = 1 }, --二级灵珠
{ group = 1, type = 0, id = 282, propability = 8, count = 1 }, --三级灵珠
{ group = 1, type = 0, id = 283, propability = 30, count = 1 }, --四级灵珠
{ group = 1, type = 0, id = 1402, propability = 80, count = 1 }, --五级灵珠
{ group = 1, type = 0, id = 193, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --武神唤月
{ group = 1, type = 0, id = 194, propability = 900, count = 1, strong = -5, strongMin = 3 }, --金阳战甲(男)
{ group = 1, type = 0, id = 195, propability = 900, count = 1, strong = -5, strongMin = 3 }, --金阳战甲(女)
{ group = 1, type = 0, id = 196, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳头盔
{ group = 1, type = 0, id = 197, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳项链
{ group = 1, type = 0, id = 198, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳手镯
{ group = 1, type = 0, id = 199, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳腰带
{ group = 1, type = 0, id = 200, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳战靴
{ group = 1, type = 0, id = 201, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳宝石
{ group = 1, type = 0, id = 202, propability = 750, count = 1, strong = -5, strongMin = 3 }, --金阳戒指
{ group = 1, type = 0, id = 204, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --法神权杖
{ group = 1, type = 0, id = 205, propability = 900, count = 1, strong = -5, strongMin = 3 }, --审判魔袍(男)
{ group = 1, type = 0, id = 206, propability = 900, count = 1, strong = -5, strongMin = 3 }, --审判魔袍(女)
{ group = 1, type = 0, id = 207, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判头盔
{ group = 1, type = 0, id = 208, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判项链
{ group = 1, type = 0, id = 209, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判手镯
{ group = 1, type = 0, id = 210, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判腰带
{ group = 1, type = 0, id = 211, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判法履
{ group = 1, type = 0, id = 212, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判宝石
{ group = 1, type = 0, id = 213, propability = 750, count = 1, strong = -5, strongMin = 3 }, --审判戒指
{ group = 1, type = 0, id = 215, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --易神天蛇
{ group = 1, type = 0, id = 216, propability = 900, count = 1, strong = -5, strongMin = 3 }, --玄冥道袍(男)
{ group = 1, type = 0, id = 217, propability = 900, count = 1, strong = -5, strongMin = 3 }, --玄冥道袍(女)
{ group = 1, type = 0, id = 218, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥头盔
{ group = 1, type = 0, id = 219, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥项链
{ group = 1, type = 0, id = 220, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥手镯
{ group = 1, type = 0, id = 221, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥腰带
{ group = 1, type = 0, id = 222, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥道鞋
{ group = 1, type = 0, id = 223, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥宝石
{ group = 1, type = 0, id = 224, propability = 750, count = 1, strong = -5, strongMin = 3 }, --玄冥戒指
{ group = 1, type = 0, id = 694, propability = 180, count = 1, strong = -5, strongMin = 3 }, --秘银勋章(3级)
{ group = 1, type = 0, id = 229, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧头盔
{ group = 1, type = 0, id = 230, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧项链
{ group = 1, type = 0, id = 231, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧手镯
{ group = 1, type = 0, id = 232, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧腰带
{ group = 1, type = 0, id = 233, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧战靴
{ group = 1, type = 0, id = 234, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧宝石
{ group = 1, type = 0, id = 235, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --千钧戒指
{ group = 1, type = 0, id = 240, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰头盔
{ group = 1, type = 0, id = 241, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰项链
{ group = 1, type = 0, id = 242, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰手镯
{ group = 1, type = 0, id = 243, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰腰带
{ group = 1, type = 0, id = 244, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰法履
{ group = 1, type = 0, id = 245, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰宝石
{ group = 1, type = 0, id = 246, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --烈焰戒指
{ group = 1, type = 0, id = 251, propability = 1200, count = 1, strong = -5, strongMin = 3 }, --冥魅头盔
