{ group = 1, type = 0, id = 282, propability = 1, count = 1 }, --Èı¼¶ÁéÖé
{ group = 1, type = 0, id = 283, propability = 2, count = 1 }, --ËÄ¼¶ÁéÖé
{ group = 1, type = 0, id = 1402, propability = 7, count = 1 }, --Îå¼¶ÁéÖé
{ group = 1, type = 0, id = 549, propability = 25, count = 1 }, --Âé±Ô½äÖ¸
{ group = 1, type = 0, id = 550, propability = 25, count = 1 }, --»¤Ìå½äÖ¸
{ group = 1, type = 0, id = 551, propability = 25, count = 1 }, --¸´»î½äÖ¸
{ group = 1, type = 0, id = 193, propability = 75, count = 1, strong = -5, strongMin = 3 }, --ÎäÉñ»½ÔÂ
{ group = 1, type = 0, id = 194, propability = 50, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 195, propability = 50, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(Å®)
{ group = 1, type = 0, id = 196, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÍ·¿ø
{ group = 1, type = 0, id = 197, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÏîÁ´
{ group = 1, type = 0, id = 198, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÊÖïí
{ group = 1, type = 0, id = 199, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÑü´ø
{ group = 1, type = 0, id = 200, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½Ñ¥
{ group = 1, type = 0, id = 201, propability = 37, count = 1, strong = -5, strongMin = 3 }, --½ğÑô±¦Ê¯
{ group = 1, type = 0, id = 204, propability = 75, count = 1, strong = -5, strongMin = 3 }, --·¨ÉñÈ¨ÕÈ
{ group = 1, type = 0, id = 205, propability = 50, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 206, propability = 50, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 207, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÍ·¿ø
{ group = 1, type = 0, id = 208, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÏîÁ´
{ group = 1, type = 0, id = 209, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÊÖïí
{ group = 1, type = 0, id = 210, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÑü´ø
{ group = 1, type = 0, id = 211, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞ·¨ÂÄ
{ group = 1, type = 0, id = 212, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞ±¦Ê¯
{ group = 1, type = 0, id = 215, propability = 75, count = 1, strong = -5, strongMin = 3 }, --Ò×ÉñÌìÉß
{ group = 1, type = 0, id = 216, propability = 50, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(ÄĞ)
{ group = 1, type = 0, id = 217, propability = 50, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(Å®)
{ group = 1, type = 0, id = 218, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤Í·¿ø
{ group = 1, type = 0, id = 219, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤ÏîÁ´
{ group = 1, type = 0, id = 220, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤ÊÖïí
{ group = 1, type = 0, id = 221, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤Ñü´ø
{ group = 1, type = 0, id = 222, propability = 37, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀĞ¬
