{ group = 1, type = 0, id = 282, propability = 2, count = 1 }, --Èı¼¶ÁéÖé
{ group = 1, type = 0, id = 283, propability = 1, count = 1 }, --ËÄ¼¶ÁéÖé
{ group = 1, type = 0, id = 1402, propability = 4, count = 1 }, --Îå¼¶ÁéÖé
{ group = 1, type = 0, id = 982, propability = 20, count = 1 }, --»Æ½ğÂé±Ô½äÖ¸
{ group = 1, type = 0, id = 983, propability = 20, count = 1 }, --ºìÓñ»¤Ìå½äÖ¸
{ group = 1, type = 0, id = 984, propability = 20, count = 1 }, --À¶Áé¸´»î½äÖ¸
{ group = 1, type = 0, id = 193, propability = 60, count = 1, strong = -5, strongMin = 3 }, --ÎäÉñ»½ÔÂ
{ group = 1, type = 0, id = 194, propability = 40, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 195, propability = 40, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(Å®)
{ group = 1, type = 0, id = 196, propability = 30, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÍ·¿ø
{ group = 1, type = 0, id = 197, propability = 30, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÏîÁ´
{ group = 1, type = 0, id = 201, propability = 30, count = 1, strong = -5, strongMin = 3 }, --½ğÑô±¦Ê¯
{ group = 1, type = 0, id = 204, propability = 60, count = 1, strong = -5, strongMin = 3 }, --·¨ÉñÈ¨ÕÈ
{ group = 1, type = 0, id = 205, propability = 40, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 206, propability = 40, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 207, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÍ·¿ø
{ group = 1, type = 0, id = 208, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÏîÁ´
{ group = 1, type = 0, id = 212, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞ±¦Ê¯
{ group = 1, type = 0, id = 215, propability = 60, count = 1, strong = -5, strongMin = 3 }, --Ò×ÉñÌìÉß
{ group = 1, type = 0, id = 216, propability = 40, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(ÄĞ)
{ group = 1, type = 0, id = 217, propability = 40, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(Å®)
{ group = 1, type = 0, id = 218, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤Í·¿ø
{ group = 1, type = 0, id = 219, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤ÏîÁ´
{ group = 1, type = 0, id = 223, propability = 30, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤±¦Ê¯
{ group = 1, type = 0, id = 226, propability = 20, count = 1, strong = -5, strongMin = 3 }, --¾ŞãÚ
{ group = 1, type = 0, id = 227, propability = 16, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 228, propability = 16, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½¼×(Å®)
{ group = 1, type = 0, id = 229, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÍ·¿ø
{ group = 1, type = 0, id = 230, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÏîÁ´
{ group = 1, type = 0, id = 231, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÊÖïí
{ group = 1, type = 0, id = 232, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÑü´ø
{ group = 1, type = 0, id = 233, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½Ñ¥
{ group = 1, type = 0, id = 234, propability = 12, count = 1, strong = -5, strongMin = 3 }, --Ç§¾û±¦Ê¯
