{ group = 1, type = 0, id = 283, propability = 1, count = 1 }, --ËÄ¼¶ÁéÖé
{ group = 1, type = 0, id = 1402, propability = 3, count = 1 }, --Îå¼¶ÁéÖé
{ group = 1, type = 0, id = 982, propability = 16, count = 1 }, --»Æ½ğÂé±Ô½äÖ¸
{ group = 1, type = 0, id = 983, propability = 16, count = 1 }, --ºìÓñ»¤Ìå½äÖ¸
{ group = 1, type = 0, id = 984, propability = 16, count = 1 }, --À¶Áé¸´»î½äÖ¸
{ group = 1, type = 0, id = 193, propability = 100, count = 1, strong = -5, strongMin = 3 }, --ÎäÉñ»½ÔÂ
{ group = 1, type = 0, id = 194, propability = 66, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 195, propability = 66, count = 1, strong = -5, strongMin = 3 }, --½ğÑôÕ½¼×(Å®)
{ group = 1, type = 0, id = 204, propability = 100, count = 1, strong = -5, strongMin = 3 }, --·¨ÉñÈ¨ÕÈ
{ group = 1, type = 0, id = 205, propability = 66, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 206, propability = 66, count = 1, strong = -5, strongMin = 3 }, --ÉóÅĞÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 215, propability = 100, count = 1, strong = -5, strongMin = 3 }, --Ò×ÉñÌìÉß
{ group = 1, type = 0, id = 216, propability = 66, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(ÄĞ)
{ group = 1, type = 0, id = 217, propability = 66, count = 1, strong = -5, strongMin = 3 }, --ĞşÚ¤µÀÅÛ(Å®)
{ group = 1, type = 0, id = 226, propability = 33, count = 1, strong = -5, strongMin = 3 }, --¾ŞãÚ
{ group = 1, type = 0, id = 227, propability = 26, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 228, propability = 26, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½¼×(Å®)
{ group = 1, type = 0, id = 229, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÍ·¿ø
{ group = 1, type = 0, id = 230, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÏîÁ´
{ group = 1, type = 0, id = 231, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÊÖïí
{ group = 1, type = 0, id = 232, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÑü´ø
{ group = 1, type = 0, id = 233, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾ûÕ½Ñ¥
{ group = 1, type = 0, id = 234, propability = 20, count = 1, strong = -5, strongMin = 3 }, --Ç§¾û±¦Ê¯
{ group = 1, type = 0, id = 237, propability = 33, count = 1, strong = -5, strongMin = 3 }, --ºìÁ«
{ group = 1, type = 0, id = 238, propability = 26, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 239, propability = 26, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 240, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÍ·¿ø
{ group = 1, type = 0, id = 241, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÏîÁ´
{ group = 1, type = 0, id = 242, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÊÖïí
{ group = 1, type = 0, id = 243, propability = 20, count = 1, strong = -5, strongMin = 3 }, --ÁÒÑæÑü´ø
