{ group = 0, type = 0, id = 370, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --祝福油
{ group = 0, type = 0, id = 354, propability = 1, count = 0, mincount = 2, maxcount = 3 }, --红玫瑰
{ group = 1, type = 0, id = 280, propability = 1, count = 0, mincount = 1, maxcount = 3 }, --一级灵珠
{ group = 1, type = 0, id = 281, propability = 3, count = 0, mincount = 1, maxcount = 2 }, --二级灵珠
{ group = 1, type = 0, id = 282, propability = 6, count = 0, mincount = 1, maxcount = 1 }, --三级灵珠
{ group = 2, type = 0, id = 276, propability = 1, count = 0, mincount = 1, maxcount = 2 }, --强化保护符
{ group = 2, type = 0, id = 278, propability = 2, count = 1 }, --清洗砂
{ group = 2, type = 0, id = 279, propability = 2, count = 1 }, --鉴定锁
{ group = 2, type = 0, id = 2111, propability = 2, count = 1 }, --足迹精华
{ group = 2, type = 0, id = 1990, propability = 2, count = 1 }, --幻天印
{ group = 2, type = 0, id = 1172, propability = 3, count = 1 }, --灵魂水晶
{ group = 3, type = 0, id = 164, propability = 100, count = 1 }, --圣灵项链
{ group = 3, type = 0, id = 165, propability = 100, count = 1 }, --圣灵手镯
{ group = 3, type = 0, id = 169, propability = 100, count = 1 }, --圣灵戒指
{ group = 3, type = 0, id = 175, propability = 100, count = 1 }, --雪域项链
{ group = 3, type = 0, id = 176, propability = 100, count = 1 }, --雪域手镯
{ group = 3, type = 0, id = 180, propability = 100, count = 1 }, --雪域戒指
{ group = 3, type = 0, id = 186, propability = 100, count = 1 }, --天罡项链
{ group = 3, type = 0, id = 187, propability = 100, count = 1 }, --天罡手镯
{ group = 3, type = 0, id = 191, propability = 100, count = 1 }, --天罡之戒
{ group = 4, type = 0, id = 615, propability = 1, count = 1 }, --雷霆头盔
{ group = 4, type = 0, id = 617, propability = 1, count = 1 }, --玄灵头盔
{ group = 4, type = 0, id = 616, propability = 1, count = 1 }, --星灿头盔
{ group = 4, type = 0, id = 594, propability = 1, count = 1 }, --玄铁宝石
{ group = 4, type = 0, id = 595, propability = 1, count = 1 }, --星光宝石
{ group = 4, type = 0, id = 596, propability = 1, count = 1 }, --两仪宝石
{ group = 4, type = 0, id = 597, propability = 1, count = 1 }, --玄铁手镯
{ group = 4, type = 0, id = 598, propability = 1, count = 1 }, --星光手镯
{ group = 4, type = 0, id = 599, propability = 1, count = 1 }, --两仪手镯
{ group = 4, type = 0, id = 600, propability = 1, count = 1 }, --玄铁项链
{ group = 4, type = 0, id = 601, propability = 1, count = 1 }, --星光项链
{ group = 4, type = 0, id = 602, propability = 1, count = 1 }, --两仪项链
{ group = 4, type = 0, id = 116, propability = 2, count = 1 }, --光芒神剑
{ group = 4, type = 0, id = 106, propability = 2, count = 1 }, --红玉魔袍(男)
{ group = 4, type = 0, id = 118, propability = 2, count = 1 }, --蓝灵道衣(女)
{ group = 4, type = 0, id = 95, propability = 2, count = 1 }, --黄金战甲(男)
{ group = 4, type = 0, id = 108, propability = 2, count = 1 }, --红玉头盔
{ group = 4, type = 0, id = 96, propability = 2, count = 1 }, --黄金战甲(女)
{ group = 4, type = 0, id = 105, propability = 2, count = 1 }, --金光法杖
{ group = 4, type = 0, id = 97, propability = 2, count = 1 }, --黄金头盔
{ group = 4, type = 0, id = 107, propability = 2, count = 1 }, --红玉魔袍(女)
{ group = 4, type = 0, id = 117, propability = 2, count = 1 }, --蓝灵道衣(男)
{ group = 4, type = 0, id = 119, propability = 2, count = 1 }, --蓝灵头盔
{ group = 4, type = 0, id = 94, propability = 2, count = 1 }, --偃月战刀
