{ group = 0, type = 0, id = 97, propability = 2000, count = 1 }, --黄金头盔
{ group = 0, type = 0, id = 108, propability = 2000, count = 1 }, --红玉头盔
{ group = 0, type = 0, id = 119, propability = 2000, count = 1 }, --蓝灵头盔
{ group = 0, type = 0, id = 130, propability = 60000, count = 1 }, --火龙头盔
{ group = 0, type = 0, id = 141, propability = 60000, count = 1 }, --雷炎头盔
{ group = 0, type = 0, id = 152, propability = 60000, count = 1 }, --乾坤头盔
{ group = 0, type = 0, id = 163, propability = 137700, count = 1 }, --圣灵头盔
{ group = 0, type = 0, id = 174, propability = 137700, count = 1 }, --雪域头盔
{ group = 0, type = 0, id = 185, propability = 137700, count = 1 }, --天罡头盔
{ group = 0, type = 0, id = 196, propability = 413100, count = 1 }, --金阳头盔
{ group = 0, type = 0, id = 207, propability = 413100, count = 1 }, --审判头盔
{ group = 0, type = 0, id = 218, propability = 413100, count = 1 }, --玄冥头盔
{ group = 0, type = 0, id = 229, propability = 765000, count = 1 }, --千钧头盔
{ group = 0, type = 0, id = 240, propability = 765000, count = 1 }, --烈焰头盔
{ group = 0, type = 0, id = 251, propability = 765000, count = 1 }, --冥魅头盔
{ group = 0, type = 0, id = 99, propability = 1836, count = 1 }, --黄金护腕
{ group = 0, type = 0, id = 110, propability = 1836, count = 1 }, --红玉手镯
{ group = 0, type = 0, id = 121, propability = 1836, count = 1 }, --蓝灵手镯
{ group = 0, type = 0, id = 132, propability = 54000, count = 1 }, --火龙手镯
{ group = 0, type = 0, id = 143, propability = 54000, count = 1 }, --雷炎手镯
{ group = 0, type = 0, id = 154, propability = 54000, count = 1 }, --乾坤手镯
{ group = 0, type = 0, id = 165, propability = 162000, count = 1 }, --圣灵手镯
{ group = 0, type = 0, id = 176, propability = 162000, count = 1 }, --雪域手镯
{ group = 0, type = 0, id = 187, propability = 162000, count = 1 }, --天罡手镯
{ group = 0, type = 0, id = 198, propability = 486000, count = 1 }, --金阳手镯
{ group = 0, type = 0, id = 209, propability = 486000, count = 1 }, --审判手镯
{ group = 0, type = 0, id = 220, propability = 486000, count = 1 }, --玄冥手镯
