{ group = 0, type = 0, id = 370, propability = 1200, count = 1 }, --×£¸£ÓÍ
{ group = 0, type = 0, id = 277, propability = 300, count = 1 }, --¼ø¶¨Í¼¼ø
{ group = 0, type = 0, id = 856, propability = 650, count = 1 }, --Ó¢ĞÛ¼¼ÄÜ²ĞÒ³
{ group = 0, type = 0, id = 828, propability = 1200, count = 1 }, --Ó¢ĞÛ¾­Ñéµ¤(Ğ¡)
{ group = 0, type = 0, id = 702, propability = 500, count = 1 }, --³õ¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 703, propability = 800, count = 1 }, --ÖĞ¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 338, propability = 100, count = 1 }, --³¬¼¶½ğ´´Ò©
{ group = 0, type = 0, id = 345, propability = 100, count = 1 }, --³¬¼¶Ä§·¨Ò©
{ group = 0, type = 0, id = 338, propability = 150, count = 1 }, --³¬¼¶½ğ´´Ò©
{ group = 0, type = 0, id = 345, propability = 150, count = 1 }, --³¬¼¶Ä§·¨Ò©
{ group = 0, type = 0, id = 350, propability = 250, count = 1 }, --Ç¿Ğ§Ì«ÑôË®
{ group = 0, type = 0, id = 354, propability = 100000, count = 1 }, --ºìÃµ¹å
{ group = 1, type = 0, id = 94, propability = 37260, count = 1 }, --ÙÈÔÂÕ½µ¶
{ group = 1, type = 0, id = 95, propability = 28350, count = 1 }, --»Æ½ğÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 96, propability = 28350, count = 1 }, --»Æ½ğÕ½¼×(Å®)
{ group = 1, type = 0, id = 97, propability = 24494, count = 1 }, --»Æ½ğÍ·¿ø
{ group = 1, type = 0, id = 98, propability = 24494, count = 1 }, --»Æ½ğÏîÁ´
{ group = 1, type = 0, id = 99, propability = 24494, count = 1 }, --»Æ½ğ»¤Íó
{ group = 1, type = 0, id = 100, propability = 24494, count = 1 }, --»Æ½ğÑü´ø
{ group = 1, type = 0, id = 101, propability = 24494, count = 1 }, --»Æ½ğÕ½Ñ¥
{ group = 1, type = 0, id = 102, propability = 24494, count = 1 }, --»Æ½ğ±¦Ê¯
{ group = 1, type = 0, id = 103, propability = 24494, count = 1 }, --»Æ½ğ½äÖ¸
{ group = 1, type = 0, id = 105, propability = 37260, count = 1 }, --½ğ¹â·¨ÕÈ
{ group = 1, type = 0, id = 106, propability = 28350, count = 1 }, --ºìÓñÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 107, propability = 28350, count = 1 }, --ºìÓñÄ§ÅÛ(Å®)
{ group = 1, type = 0, id = 108, propability = 24494, count = 1 }, --ºìÓñÍ·¿ø
{ group = 1, type = 0, id = 109, propability = 24494, count = 1 }, --ºìÓñÏîÁ´
{ group = 1, type = 0, id = 110, propability = 24494, count = 1 }, --ºìÓñÊÖïí
{ group = 1, type = 0, id = 111, propability = 24494, count = 1 }, --ºìÓñÑü´ø
{ group = 1, type = 0, id = 112, propability = 24494, count = 1 }, --ºìÓñ·¨ÂÄ
{ group = 1, type = 0, id = 113, propability = 24494, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 1, type = 0, id = 114, propability = 24494, count = 1 }, --ºìÓñ½äÖ¸
{ group = 1, type = 0, id = 116, propability = 37260, count = 1 }, --¹âÃ¢Éñ½£
{ group = 1, type = 0, id = 117, propability = 28350, count = 1 }, --À¶ÁéµÀÒÂ(ÄĞ)
{ group = 1, type = 0, id = 118, propability = 28350, count = 1 }, --À¶ÁéµÀÒÂ(Å®)
{ group = 1, type = 0, id = 119, propability = 24494, count = 1 }, --À¶ÁéÍ·¿ø
{ group = 1, type = 0, id = 120, propability = 24494, count = 1 }, --À¶ÁéÏîÁ´
{ group = 1, type = 0, id = 121, propability = 24494, count = 1 }, --À¶ÁéÊÖïí
{ group = 1, type = 0, id = 122, propability = 24494, count = 1 }, --À¶ÁéÑü´ø
{ group = 1, type = 0, id = 123, propability = 24494, count = 1 }, --À¶ÁéµÀĞ¬
{ group = 1, type = 0, id = 124, propability = 24494, count = 1 }, --À¶Áé±¦Ê¯
{ group = 1, type = 0, id = 125, propability = 24494, count = 1 }, --À¶Áé½äÖ¸
{ group = 1, type = 0, id = 127, propability = 2448345, count = 1 }, --ÎäÖ®Ó°÷È
{ group = 1, type = 0, id = 131, propability = 96260, count = 1 }, --»ğÁúÏîÁ´
{ group = 1, type = 0, id = 132, propability = 90399, count = 1 }, --»ğÁúÊÖïí
{ group = 1, type = 0, id = 136, propability = 90399, count = 1 }, --»ğÁú½äÖ¸
{ group = 1, type = 0, id = 138, propability = 2448345, count = 1 }, --Ò×Ñª¿ñÁú
{ group = 1, type = 0, id = 142, propability = 96260, count = 1 }, --À×Ñ×ÏîÁ´
{ group = 1, type = 0, id = 143, propability = 90399, count = 1 }, --À×Ñ×ÊÖïí
{ group = 1, type = 0, id = 147, propability = 90399, count = 1 }, --À×Ñ×½äÖ¸
{ group = 1, type = 0, id = 149, propability = 2448345, count = 1 }, --·ïÎè¿ñÉ³
{ group = 1, type = 0, id = 153, propability = 96260, count = 1 }, --Ç¬À¤ÏîÁ´
{ group = 1, type = 0, id = 154, propability = 90399, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 1, type = 0, id = 158, propability = 90399, count = 1 }, --Ç¬À¤½äÖ¸
{ group = 1, type = 0, id = 137, propability = 100443, count = 1 }, --ºùÂ«Ñ«ÕÂ
