--怪物战斗中的说话,用于一些战斗的说话的配置
--为了实现一些战斗中的说话的特殊表现,在技能里添加一种说话的技能效果
--但是技能里不能支持字符串的配置,故在技能里配置id,将这些id对应的说话移植到这里,
--这个文件请专人管理,只能修改,不能中间插入记录,否则会是乱
--请在后面标注这个话的ID
--{mj=0,timeParam=1,type=24,buffType=1,id=19},
MonserSay = 
{
"我是0号,看到我证明出BUG了!咪啪~",      -- 0
"远离我！",      -- 1
"魔法盾！",    --2
"我的守卫！快来保护我！！！",--3
"被我靠近了，你几乎就是一具尸体了",--4
"没有绝对力量的人，没有资格站在我面前！！",--5
"在烈焰面前退却吧！",--6
"让你们尝试下魔龙的怒火！！！",--7
"圣光保护着您！",--8
"可恶的圣女！",--9
"红玫瑰（7分钟后可收）",--10
"红玫瑰（6分钟后可收）",--11
"红玫瑰（5分钟后可收）",--12
"红玫瑰（4分钟后可收）",--13
"红玫瑰（3分钟后可收）",--14
"红玫瑰（2分钟后可收）",--15
"红玫瑰（1分钟后可收）",--16
"红玫瑰（成熟可收）",--17
"您种植的红玫瑰已经成熟，要前往玫瑰园进行收获吗？",--18	
"定身！",--19	
"减速迷雾",--20	
"毁灭雷光！接近我的人都会受到无情的天罚！",--21	
"你感觉一股真气透入心扉，清凉惬意",--22	
"赶快跑，赶快跑，不然就要被捉住了！",--23
"恭喜发财！",--24
"福气东来！",--25
"好穷啊！",--26
"祸不单行啊啊！",--27
"你已被魔光照射！增加2倍经验成功！10分钟内杀怪经验为2倍！",--28
"我的躯体是永远不会灭亡的！让我们看看我们强大的攻击吧！",--29
"我的妻子对付不了你们，就让我来跟你们一决高下吧！我体内有强大的“地狱冥王石”，看你们能奈我何！？",--30
"获得3倍经验！",--31
"出来吧，小的们！杀光入侵者！",--32
"啊啊啊，感受我愤怒的烈焰吧！！！",--33
"你弄疼我了，在我的剧毒中死亡吧！",--34
"感受我的威力吧！",--35
"在我无情的砍击下挣扎吧！",--36
"流逝吧，那些你不再需要的魔法~",--37
"让你们见识下真正的诅咒！~",--38
"能够让我如此重伤的人已经不多了，但是你们还是倒下吧，看招！~",--39
"玛沙克城绝对不是弱者可以染指的，元芳，你怎么看？",--40，攻城神兽护体喊话
"不发几招霸气技能，你们还真以为我是病猫！",--41，攻城神兽怒气喊话
"你们打你们的，不用管我，我只放点电而已。",--42，攻城将军放电喊话
"年轻人火气不要那么大，不就戳你几下吗？我又不疼。",--43，攻城将军抗拒喊话
"想统治玛沙克城，问问我手中的长矛先。",--44，荣誉将军呐喊怒火喊话
"本王要动真格了！",--45，荣誉将军嗜血喊话
"站着不动只会被我冰住！",--46，冰麒麟冰冻喊话
"你们这是自寻死路！",--47，冰麒麟冰冻喊话
"冥焱之火！",--48，天枢大火球
"被定住了就吃下我的全力一击吧！",--49，天璇打冰冻大量伤害喊话
"感受剧毒侵袭的滋味吧！",--50，玉衡猛毒
"弱小之人，到我面前来！",--51，天玑抓人
"我虐人的时候，根本不怕魔法攻击！",--52，天权抓人
"给你们个活命的机会，快逃吧！",--53，摇光二段伤害喊话
"出来吧！自爆蜘蛛！",--54，召唤自爆蜘蛛
"幽冥守护！我已经天下无敌了！",--55，跨服Boss阶段性无敌
"不要被我灵活的身法迷住了哦～",--56，霜狐阶段性加闪避
"过来！吃我一角！",--57，霜狐阶段性加闪避
"我的怒火犹如潮水！",--58，霜狐阶段性加闪避
"小心陷阱！不过没人去踩的话要10分钟才会消失的哈哈哈！",--59，霜狐阶段性加闪避
"各位勇士注意!还有50秒刷出下一只BOSS!",--60，跨服BOSS死后公告
"各位勇士注意!还有40秒刷出下一只BOSS!",--61，跨服BOSS死后公告
"各位勇士注意!还有30秒刷出下一只BOSS!",--62，跨服BOSS死后公告
"各位勇士注意!还有20秒刷出下一只BOSS!",--63，跨服BOSS死后公告
"各位勇士注意!还有10秒刷出下一只BOSS!",--64，跨服BOSS死后公告
"各位勇士注意!还有5秒刷出下一只BOSS!",--65，跨服BOSS死后公告
"我喜欢中毒的猎物！看我的毒牙！",--66，毒爆蜘蛛毒牙
"中毒了？是你引爆的蜘蛛吧！吃我愤怒一击！",--67，天灾魔龙剧毒打击
"呵呵，这次没炸到其他怪物！",--68，毒爆蜘蛛爆炸未影响其他怪物
"啊，不小心又炸到自己人了……",--69，毒爆蜘蛛爆炸未影响其他怪物
"蜘蛛炸我很疼的，让它们离我远点！",--70，毒爆蜘蛛爆炸未影响其他怪物
"可恶的家伙，看我把你们做成烤乳猪！！！",--71，猪刚鬣变身
"哪里逃！！吃我一耙！！！",--72，猪刚鬣变身后拉人
"肚子有些饿啊，我要吃点东西先!",--73，猪刚鬣召唤烤猪
"你以为你能逃到哪儿去！？乖乖的来跟我正面打！",--74，猪刚鬣拉人进近战范围
"居然还请了奇怪的帮手，看我怎么收拾他们。",--75，猪刚鬣麻痹圈外的非玩家。
"帮手真是碍事儿！定！",--76，猪刚鬣麻痹圈外的非玩家。
"你们可把俺老孙给惹毛了！",--77，孙悟空变身。
"哪里走！！吃我一棍！！",--78，孙悟空狂暴后拉人。
"对付你请来的帮手们，我只需要施展个定身法就足够了！",--79，孙悟空麻痹圈外的非玩家。
"跟你们打烦了，我先回去睡个觉！",--80，孙悟空回归石猴形态。
"看我的猴毛变化！！",--81，孙悟空招双分身。
"你们能应付得了我的分身吗？",--82，孙悟空招单分身。
"把我吵醒了还想走？天真！",--83，猪刚鬣拉人进近战范围
"你带来的这些护卫我根本就不放在眼里！",--84，猪刚鬣麻痹圈外的非玩家。
"鱼妖用巨大的尾巴把你们扫飞到了水里面，快逃回岸上！",--85，水妖传送
"请点击右上角的【离开】来离开副本。",--86，出副本提示
"臭猴子，都创建文明社会了，你竟然还随随便便在我老子手掌上撒尿，看我不关你五百年。",--87，如来干猴子
"佛法无边，让我来试试你们的能力吧！",--88，如来干玩家
"25秒钟后如来将化身为隐藏Boss向玩家挑战，奖励很丰厚哦！",--89，倒计时
"15秒钟后如来将化身为隐藏Boss向玩家挑战，奖励很丰厚哦！",--90，倒计时
"10秒钟后如来将化身为隐藏Boss向玩家挑战，奖励很丰厚哦！",--91，倒计时
"5秒钟后如来将化身为隐藏Boss向玩家挑战，奖励很丰厚哦！",--92，倒计时
"你在给我挠痒吗？连俺老孙的防御都破不了，还好意思说学会了刺杀剑术！！！",--93，悟空嘲讽玩家
"猪妖吃掉了没中毒的烤乳猪，恢复了250000点生命！",--94，悟空嘲讽玩家
"呀！乳猪有毒！猪妖受到了50000点伤害！",--95，悟空嘲讽玩家
"治疗分身没有中毒，悟空回复了250000点生命！",--96，悟空嘲讽玩家
"中毒的治疗分身对悟空造成了50000点伤害！",--97，悟空嘲讽玩家
"玫瑰（10分钟后可收）",--98
"玫瑰（9分钟后可收）",--99
"玫瑰（8分钟后可收）",--100
"玫瑰（7分钟后可收）",--101
"玫瑰（6分钟后可收）",--102
"玫瑰（5分钟后可收）",--103
"玫瑰（4分钟后可收）",--104
"玫瑰（3分钟后可收）",--105
"玫瑰（2分钟后可收）",--106
"玫瑰（1分钟后可收）",--107
"玫瑰（成熟可收）",--108
"您种植的玫瑰已经成熟，要前往玫瑰园进行收获吗？",--109	
"摇钱树（10分钟后可收）",--110
"摇钱树（9分钟后可收）",--111
"摇钱树（8分钟后可收）",--112
"摇钱树（7分钟后可收）",--113
"摇钱树（6分钟后可收）",--114
"摇钱树（5分钟后可收）",--115
"摇钱树（4分钟后可收）",--116
"摇钱树（3分钟后可收）",--117
"摇钱树（2分钟后可收）",--118
"摇钱树（1分钟后可收）",--119
"摇钱树（成熟可收）",--120
"您种植的摇钱树已经成熟，要前往玫瑰园进行收获吗？",--121	
"奇异果（10分钟后可收）",--122
"奇异果（9分钟后可收）",--123
"奇异果（8分钟后可收）",--124
"奇异果（7分钟后可收）",--125
"奇异果（6分钟后可收）",--126
"奇异果（5分钟后可收）",--127
"奇异果（4分钟后可收）",--128
"奇异果（3分钟后可收）",--129
"奇异果（2分钟后可收）",--130
"奇异果（1分钟后可收）",--131
"奇异果（成熟可收）",--132
"您种植的奇异果已经成熟，要前往玫瑰园进行收获吗？",--133
"血菩提（10分钟后可收）",--134
"血菩提（9分钟后可收）",--135
"血菩提（8分钟后可收）",--136
"血菩提（7分钟后可收）",--137
"血菩提（6分钟后可收）",--138
"血菩提（5分钟后可收）",--139
"血菩提（4分钟后可收）",--140
"血菩提（3分钟后可收）",--141
"血菩提（2分钟后可收）",--142
"血菩提（1分钟后可收）",--143
"血菩提（成熟可收）",--144
"您种植的血菩提已经成熟，要前往玫瑰园进行收获吗？",--145
"你们人类就喜欢喝药，我让你们喝药的效果减半！",--146
"蝼蚁们竟敢来骚扰我！一招死一个",--147
"斩首！快逃吧~",--148
"出来吧我的小伙伴们",--149
"老大我在你附近死了你就没无敌了",--150
"老大我在你附近死了会帮你加血的",--151
"我把要你们都变成冰雕",--152
"冰火二重天的滋味不错吧",--153
"没天理啊,我高贵的龙族后裔都被人揍啦！",--154
"还以为这龙都多大实力，不就血多点吗?试试我魔族肉身力量强度！",--155
"[神灯传奇]神灯神魔的献血唤醒了隐藏BOSS:灯芯沉香\\击败后有几率获得六级魂石！",--156
"[转生神殿]炼狱暴君临死前启动了血祭,变成了暗之炼狱暴君实力大增\\击败后可获得大量转生魂魄！",--157
