--怪物戰鬥中的說話,用于一些戰鬥的說話的配置
--為了實現一些戰鬥中的說話的特殊表現,在技能里添加一種說話的技能效果
--但是技能里不能支持字符串的配置,故在技能里配置id,將這些id對應的說話移植到這裡,
--這個文件請專人管理,只能修改,不能中間插入記錄,否則會是亂
--請在後面標注這個話的ID
--{mj=0,timeParam=1,type=24,buffType=1,id=19},
MonserSay = 
{
"我是0號,看到我證明出BUG了!咪啪~",      -- 0
"遠離我！",      -- 1
"魔法盾！",    --2
"我的守衛！快來保護我！！！",--3
"受死吧，看我烈焰一擊",--4
"沒有絕對力量的人，沒有資格站在我面前！！",--5
"在烈焰面前退卻吧！",--6
"紅玫瑰（10分鐘後可收）",--7
"紅玫瑰（9分鐘後可收）",--8
"紅玫瑰（8分鐘後可收）",--9
"紅玫瑰（7分鐘後可收）",--10
"紅玫瑰（6分鐘後可收）",--11
"紅玫瑰（5分鐘後可收）",--12
"紅玫瑰（4分鐘後可收）",--13
"紅玫瑰（3分鐘後可收）",--14
"紅玫瑰（2分鐘後可收）",--15
"紅玫瑰（1分鐘後可收）",--16
"紅玫瑰（成熟可收）",--17
"您種植的紅玫瑰已經成熟，要前往玫瑰園進行收獲嗎？",--18	
"定身！",--19	
"減速迷霧",--20	
"毀滅雷光！接近我的人都會受到無情的天罰！",--21	
"你感覺一股真氣透入心扉，清涼愜意",--22	
"趕快跑，趕快跑，不然就要被捉住了！",--23
"恭喜發財！",--24
"福氣東來！",--25
"好窮啊！",--26
"禍不單行啊啊！",--27
"你已被魔光照射！增加2倍經驗成功！10分鐘內殺怪經驗為2倍！",--28
"我的軀體是永遠不會滅亡的！讓我們看看我們強大的攻擊吧！",--29
"我的妻子對付不了你們，就讓我來跟你們一決高下吧！我體內有強大的“地獄冥王石”，看你們能奈我何！？",--30
"獲得3倍經驗！",--31
"出來吧，小的們！殺光入侵者！",--32
"啊啊啊，感受我憤怒的烈焰吧！！！",--33
"你弄疼我了，在我的劇毒中死亡吧！",--34
"感受我的威力吧！",--35
"在我無情的砍擊下掙扎吧！",--36
"流逝吧，那些你不再需要的魔法~",--37
"讓你們見識下真正的詛咒！~",--38
"能夠讓我如此重傷的人已經不多了，但是你們還是倒下吧，看招！~",--39
"玛沙克城絕對不是弱者可以染指的，元芳，你怎么看？",--40，攻城神獸護體喊話
"不發幾招霸氣技能，你們還真以為我是病貓！",--41，攻城神獸怒氣喊話
"你們打你們的，不用管我，我只放點電而已。",--42，攻城將軍放電喊話
"年輕人火氣不要那么大，不就戳你幾下嗎？我又不疼。",--43，攻城將軍抗拒喊話
"想統治玛沙克城，問問我手中的長矛先。",--44，榮譽將軍吶喊怒火喊話
"別以為攻下玛沙克城就完事了，老子還沒倒下呢！",--45，榮譽將軍嗜血喊話
"站著不動只會被我冰住！",--46，冰麒麟冰凍喊話
"你們這是自尋死路！",--47，冰麒麟冰凍喊話
"大大大大火球！",--48，天樞大火球
"被定住了就吃下我的全力一擊吧！",--49，天璇打冰凍大量傷害喊話
"猛毒術！",--50，玉衡猛毒
"宵小之輩，到我面前來！",--51，天璣抓人
"錘人的時候我就不怕魔法攻擊了！",--52，天權抓人
"給你們個活命的機會，快逃吧！",--53，搖光二段傷害喊話
"出來吧！自爆蜘蛛！",--54，召喚自爆蜘蛛
"幽冥守護！我已經天下無敵了！",--55，跨服Boss階段性無敵
"不要被我靈活的身法迷住了哦～",--56，霜狐階段性加閃避
"過來！吃我一角！",--57，霜狐階段性加閃避
"我的怒火猶如潮水！",--58，霜狐階段性加閃避
"小心陷阱！不過沒人去踩的話要10分鐘才會消失的哈哈哈！",--59，霜狐階段性加閃避
"各位勇士注意!還有50秒刷出下一只BOSS!",--60，跨服BOSS死後公告
