--技能的相关文字,这里命名规范一下
--S1L1name其中s1表示是技能1,L1表示是等级1,Name表示是名字,Desc表示说明,其他...
Skill=
{
s0Name="Test",	s0Desc="Test",
s1Name="Basic Swordplay",	s1Desc="<(c0xFF00FFFF)available at Lv.7, skill book can be gained from main line task and book store .>",
s2Name="Attack sword skill",	s2Desc="<(c0xFF00FFFF)available at Lv.19, skill book can be gained from main line task and book store .>",
s3Name="Assassin’s sword",	s3Desc="<(c0xFF00FFFF)available at Lv.25, skill book can be gained from main line task and book store .>",
s4Name="Moon Fencing",	s4Desc="<(c0xFF00FFFF)available at Lv.28, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s5Name="Ares Dash",	s5Desc="<(c0xFF00FFFF)available at Lv.30, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s6Name="Fire - sword",	s6Desc="<(c0xFF00FFFF)available at Lv.35, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s7Name="Fire ball spell",	s7Desc="<(c0xFF00FFFF)available at Lv.7, skill book can be gained from main line task and book store .>",
s8Name="Spell resistance",	s8Desc="<(c0xFF00FFFF)available at Lv.12, skill book can be gained from main line task and book store .>",
s9Name="Thunder spell",	s9Desc="<(c0xFF00FFFF)available at Lv.17, skill book can be gained from main line task and book store .>",
s10Name="Space transmit",	s10Desc="<(c0xFF00FFFF)available at Lv.17, skill book can be gained from main line task and book store .>",
s11Name="Explosive Fireball",	s11Desc="<(c0xFF00FFFF)available at Lv.22, skill book can be gained from main line task and book store.>",
s12Name="Wall of fire spell",	s12Desc="<(c0xFF00FFFF)available at Lv.24, skill book can be gained from main line task and book store .>",
s13Name="Lighting break-over",	s13Desc="<(c0xFF00FFFF)available at Lv.26, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s14Name="Holy light",	s14Desc="<(c0xFF00FFFF)available at Lv.30, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s15Name="Magic Shield",	s15Desc="<(c0xFF00FFFF)available at Lv.31, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s16Name="Ice Storm",	s16Desc="<(c0xFF00FFFF)available at Lv.35, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s17Name="Restore spell",	s17Desc="<(c0xFF00FFFF)available at Lv.7, skill book can be gained from main line task and book store .>",
s18Name="Soul Practicing",	s18Desc="<(c0xFF00FFFF)available at Lv.9, skill book can be gained from main line task and book store .>",
s19Name="Poison spell",	s19Desc="<(c0xFF00FFFF)available at Lv.14, skill book can be gained from main line task and book store .>",
s20Name="Charm spell",	s20Desc="<(c0xFF00FFFF)available at Lv.18, skill book can be gained from main line task and book store .>",
s21Name="Summon spell",	s21Desc="<(c0xFF00FFFF)available at Lv.19, skill book can be gained from main line task and book store .>",
s22Name="Invisible spell",	s22Desc="<(c0xFF00FFFF)available at Lv.20, skill book can be gained from main line task and book store .>",
s23Name="Group Hide spell",	s23Desc="<(c0xFF00FFFF)available at Lv.21, skill book can be gained from main line task and book store .>",
s24Name="Ghost Shield",	s24Desc="<(c0xFF00FFFF)available at Lv.22, skill book can be gained from main line task and book store.>",
s25Name="Sacred Protection",	s25Desc="<(c0xFF00FFFF)available at Lv.26, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s26Name="Group Restore spell",	s26Desc="<(c0xFF00FFFF)available at Lv.33, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s27Name="Advanced Summon",	s27Desc="<(c0xFF00FFFF)available at Lv.35, skill book can be gained from Lv.25-34 monster or book store ><(c0xFF00FF00)Extreme VIP member can activate the skill for free.>",
s28Name="Skeleton attack",	s28Desc="pet skill:100% physical attack",
s29Name="Crucial charge ‘s assist setting",	s29Desc="Crucial charge ‘s assist setting",
s30Name="Archer attack",	s30Desc="LV1: range 10 step, 100% physical attack",
s31Name="List of Animals all screen attack skill",	s31Desc="list of Animals all screen attack skill",
s32Name="Worm poison",	s32Desc="Worm poison",
s33Name="King Poison",	s33Desc="Fire Dragon Poison",
s34Name="Evil Emperor-summons monsters",	s34Desc="Evil Emperor-summons monsters",
s35Name="Pig Guard uses Half-moon Blade",	s35Desc="Pig Guard uses Half-moon Blade",
s36Name="Fire dragon Full Screen Palsy",	s36Desc="Fire dragon Full Screen Palsy",
s37Name="Evil Emperor-Guard Fireball",	s37Desc="Evil Emperor-Guard Fireball",
s38Name="Summon skill after death",	s38Desc=" Lv.1：Rose goblin summons herself after death 2：Dragon lady summons herself after death",
s39Name="Random transmit on current Boss map",	s39Desc="Random transmit on current Boss map",
s40Name="Golden Zombie-Explosive Skill",	s40Desc="Golden Zombie-Explosive Skill",
s41Name="Landmine of Demon Hierarch",	s41Desc="Landmine of Demon Hierarch",
s42Name="Holy Beast attacks 2",	s42Desc="Holy Beast attacks 2",
s43Name="Kick out the dead monster",	s43Desc="Kick out the dead monster",
s44Name="Explosive fire phoenix",	s44Desc="Explosive fire phoenix",
s45Name="Dark snake skill",	s45Desc="Dark snake skill",
s46Name="Mining skill",	s46Desc="Mining skill",
s47Name="Elite snake-scorpion release thunder",	s47Desc="Elite snake-scorpion release thunder",
s48Name="A skill of Queen Ant",	s48Desc="A skill of Queen Ant",
s49Name="A skill of Demon Ox King",	s49Desc="A skill of Demon Ox King",
s50Name="Guild instance BOSS Dragon Rage",	s50Desc="Guild instance BOSS Dragon Rage",
s51Name="Guild instance monster magic armor",	s51Desc="Guild instance monster magic armor",
s52Name="Guild instance monster rage",	s52Desc="Guild instance monster rage",
s53Name="Guild instance monster will explore after death",	s53Desc="Guild instance monster will explore after death",
s54Name="Guild instance-monster roar",	s54Desc="push enemy that stands in front away 4 steps",
s55Name="Guild instance-monster poison fog",	s55Desc="cause damage to enemy 8 steps around",
s56Name="Fighter unique ATK",	s56Desc="for Lv.43 or better player. The skill book can be purchased from store. When rage value is filled, click the <(c0xFF00FF00)rage> button beside HP slot or press shortcut key<(c0xFF00FF00)D> to release the skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s57Name="Mage unique ATK",	s57Desc="for Lv.43 or better player. The skill book can be purchased from store. When rage value is filled, click the <(c0xFF00FF00)rage> button beside HP slot or press shortcut key<(c0xFF00FF00)D> to release the skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s58Name="Taoist unique ATK",	s58Desc="for Lv.43 or better player. The skill book can be purchased from store. When rage value is full, click the <(c0xFF00FF00)rage> button beside HP slot or press shortcut key<(c0xFF00FF00)D> to release the skill. Kill monster with level no less than 9 to you or that with higher level, and you will gain rage. Kill boss to gain more rage",
s59Name="Moon Chop",	s59Desc="cause 50% damage to player within 3 steps. CD:1 minute",
s60Name="Imprisonment Chain",	s60Desc="lock player within 5 steps for 5s. CD 1 minutes",
s61Name="Raged Sword",	s61Desc="fix damage10000, CD 1 minutes",
s62Name="Summon Silver King",	s62Desc="HP<=5%， BOSS talk to the world 1 time：I’m defeated！But I will summon 1 Silver King（only once）",
s63Name="Elite of Magic Dragon",	s63Desc="Elite of Magic Dragon",
s64Name="Citywall-refresh skill",	s64Desc="Citywall-refresh skill",
s65Name="Citywall-damage skill",	s65Desc="Citywall-damage skill",
s66Name="Shaback open door skill",	s66Desc="open door skill",
